frame,roi,variance_of_laplacian,tenengrad,sum_modified_laplacian,normalized_variance,over_clip_frac,under_clip_frac,mean,p01,p50,p99,dynamic_range,sat_mean,sat_p50,val_mean
0,full,657.5001396116561,15494.276465557687,12.191287723805015,53.11195432050992,1.1574074074074073e-05,0.0012924382716049383,97.01193980902774,7.3100000000000005,70.75699999999999,230.14599999999996,222.83599999999996,99.30707475722956,89.07534246575342,111.53034336419753
0,center,1477.5009410825608,34279.86489871698,18.133889844399864,44.25279520631601,4.8225308641975306e-05,0.004219714506172839,153.86860092351466,5.681,209.83599999999996,230.14599999999996,224.46499999999995,51.37618754387472,15.136986301369863,161.7940417631173
1,full,658.5617538659654,15482.215134535265,12.196128846497121,53.09466394600901,1.9290123456790123e-05,0.0013136574074074075,97.06149912037033,7.1209999999999996,70.75399999999999,230.14599999999996,223.02499999999995,99.3325904795553,88.95348837209302,111.62770640432099
1,center,1484.6612535698619,34252.538569452656,18.166200543132554,44.232211558544144,6.028163580246913e-05,0.004014756944444444,153.89034084442514,5.94829,209.83599999999996,230.14599999999996,224.19770999999997,51.66119949218849,15.136986301369863,161.78395061728395
2,full,655.4787382619058,15497.99723588013,12.171667422061136,53.1155041892401,1.9290123456790123e-05,0.001244212962962963,97.04073895061732,7.288,70.814,230.14599999999996,222.85799999999995,99.14566085605294,88.69565217391305,111.55696566358024
2,center,1477.2019625277196,34274.96088500054,18.177041578998878,44.21101282031167,7.233796296296296e-05,0.004002700617283951,153.88169827835645,6.146000000000001,209.83599999999996,230.14599999999996,223.99999999999994,51.692403961796856,15.136986301369863,161.80332513503086
3,full,660.1866402866776,15519.45535792409,12.186384502254542,53.10939770575348,1.54320987654321e-05,0.0012345679012345679,97.00088143132714,7.587999999999999,70.622,230.14599999999996,222.55799999999996,99.04344299925125,89.07534246575342,111.4649324845679
3,center,1483.1517341912167,34318.84700451318,18.13688758134756,44.26304192332117,4.8225308641975306e-05,0.00406298225308642,153.83879317370753,5.869,209.83599999999996,230.14599999999996,224.27699999999996,51.20171459890059,15.068181818181818,161.69568624614197
4,full,653.5404753981799,15476.244659006983,12.159156558738387,53.10877233273525,1.1574074074074073e-05,0.001275077160493827,97.01325185570987,7.081999999999999,70.814,230.14599999999996,223.06399999999996,99.49885735382765,89.25,111.55076195987654
4,center,1465.9501560018193,34228.14016726956,18.034688652933408,44.196012232538806,4.8225308641975306e-05,0.004243827160493827,153.8756085792824,5.847,209.83599999999996,230.14599999999996,224.29899999999995,51.486083382265875,15.068181818181818,161.72800925925927
5,full,658.9880112897899,15500.951410220543,12.208098159890106,53.10461314938804,1.54320987654321e-05,0.0013252314814814815,97.02534037422839,7.130999999999999,70.767,230.14599999999996,223.01499999999996,99.22227515140605,88.95348837209302,111.51549189814814
5,center,1478.6764238871062,34198.34454149033,18.142969198023195,44.21730360910853,7.233796296296296e-05,0.004231770833333333,153.86339220437884,5.853999999999999,209.83599999999996,229.836,223.98200000000003,51.316160295679055,15.136986301369863,161.78445698302468
6,full,653.3025446788735,15471.856961483054,12.149940660142333,53.07630155012305,1.3503086419753087e-05,0.0012847222222222223,97.04458037615743,7.130999999999999,70.782,230.14599999999996,223.01499999999996,99.1349769485162,88.69565217391305,111.51239776234569
6,center,1477.5788207442422,34235.32415831208,18.077759651612272,44.211401564789064,6.028163580246913e-05,0.003990644290123457,153.88572196903937,5.9799999999999995,209.83599999999996,230.14599999999996,224.16599999999997,51.56667740398508,15.136986301369863,161.77012201003086
7,full,657.447245622781,15496.839444248371,12.186835286493695,53.08937860310439,2.1219135802469135e-05,0.0013078703703703703,97.03148809220677,7.087939999999998,70.75549999999998,230.14599999999996,223.05805999999995,99.28202004394907,89.07534246575342,111.50291087962962
7,center,1480.7159668734844,34235.89069817586,18.12583468708715,44.198885840910705,7.233796296296296e-05,0.00431616512345679,153.87366153067128,5.853999999999999,209.83599999999996,230.14599999999996,224.29199999999997,51.37979775991021,15.136986301369863,161.81934799382717
8,full,657.0960302682345,15486.193466549606,12.186616262194315,53.106131279484295,1.54320987654321e-05,0.0012847222222222223,97.01824886188265,7.3100000000000005,70.825,230.14599999999996,222.83599999999996,99.21808910472564,89.07534246575342,111.47255401234568
8,center,1476.9025151688447,34254.912168069866,18.10923606693742,44.233401673767766,7.233796296296296e-05,0.003978587962962963,153.86105195071372,5.924999999999999,209.83599999999996,230.14599999999996,224.22099999999995,51.49210820137264,15.136986301369863,161.78299816743828
9,full,655.3347347311628,15481.72682720448,12.165973108474132,53.128721882823655,1.54320987654321e-05,0.0012133487654320987,97.0181178915895,7.153,70.782,230.14599999999996,222.99299999999997,99.27421893204622,88.69565217391305,111.4826350308642
9,center,1471.2376488569275,34225.69515951044,18.07055753045946,44.2330419011423,6.028163580246913e-05,0.0038580246913580245,153.895733048804,5.836,209.83599999999996,230.14599999999996,224.30999999999995,51.36543354109154,15.088757396449703,161.78608458719137
10,full,658.4171448416458,15515.344848231998,12.18946267394122,53.11662955999806,9.645061728395062e-06,0.0012712191358024692,97.07824774884257,7.145999999999999,70.8,230.14599999999996,222.99999999999997,99.25771684491333,88.95348837209302,111.53
10,center,1477.4146311606173,34303.8865960593,18.118621715515975,44.26327065997497,2.4112654320987653e-05,0.0040750385802469135,153.92096557918595,5.988600000000001,209.83599999999996,230.14599999999996,224.15739999999997,51.55199359944721,15.136986301369863,161.75397858796296
11,full,656.1531076371318,15466.096769508342,12.160109741096312,53.06966093306731,2.3148148148148147e-05,0.0012654320987654322,97.02717944830249,7.5605699999999905,70.7495,230.14599999999996,222.58542999999997,99.32354999146021,89.47368421052632,111.50818287037038
11,center,1478.0271712489239,34165.09074703479,18.076938371580955,44.23173081211773,6.028163580246913e-05,0.0038580246913580245,153.8470342038001,6.146000000000001,209.83599999999996,230.14599999999996,223.99999999999994,51.39751290872047,15.136986301369863,161.71690538194446
12,full,656.251560360605,15478.662239434092,12.182982062614956,53.10507396678112,1.1574074074074073e-05,0.0013059413580246914,97.02825358796296,7.176,70.785,230.14599999999996,222.96999999999997,99.08708237417285,88.46938775510203,111.47037037037038
12,center,1476.1251423271185,34283.34687502227,18.14827548074571,44.22584985593411,3.616898148148148e-05,0.003990644290123457,153.90523456790123,6.146000000000001,209.83599999999996,230.14599999999996,223.99999999999994,51.388008915995954,15.136986301369863,161.7969714506173
13,full,654.7914462262705,15476.016634476007,12.17112384653592,53.13818137624589,1.1574074074074073e-05,0.001236496913580247,97.05544755401236,7.3100000000000005,70.78049999999999,230.14599999999996,222.83599999999996,99.32776996953186,88.95348837209302,111.49813464506173
13,center,1474.3219413598733,34210.33217291877,18.106783162890835,44.23997986893844,4.8225308641975306e-05,0.004050925925925926,153.8974344979745,6.146000000000001,209.83599999999996,230.14599999999996,223.99999999999994,51.181137181529095,15.068181818181818,161.755557966821
14,full,655.1105584415553,15477.844322611694,12.170179199230118,53.11570532506266,5.787037037037037e-06,0.0011863425925925926,97.04536478009261,7.145999999999999,70.753,230.14599999999996,222.99999999999997,99.45231008130972,89.12621359223301,111.5265837191358
14,center,1469.012284026172,34181.26322358971,18.031606669276314,44.23472959153222,1.2056327160493826e-05,0.003978587962962963,153.87440950520832,5.853999999999999,209.83599999999996,230.14599999999996,224.29199999999997,51.689013886576944,15.136986301369863,161.7496383101852
15,full,656.9628746089099,15511.21026963243,12.177481822026996,53.12678219364551,1.1574074074074073e-05,0.0012654320987654322,97.0535490933642,7.305,70.83099999999999,230.14599999999996,222.84099999999995,99.23106543015544,89.07534246575342,111.51413580246914
15,center,1472.089595168398,34248.855818374126,18.079352767040177,44.241610356894085,4.8225308641975306e-05,0.003894193672839506,153.8830707103588,5.853999999999999,209.83599999999996,230.14599999999996,224.29199999999997,51.602563454933204,15.136986301369863,161.79787567515433
16,full,656.4306866287869,15499.382421961525,12.169416739101754,53.121240985795986,9.645061728395062e-06,0.001257716049382716,97.0551984239969,7.0,70.75699999999999,230.14599999999996,223.14599999999996,99.33494975217731,88.46938775510203,111.51747299382716
16,center,1477.0455254274204,34308.37207278735,18.14636387434555,44.24828507474964,2.4112654320987653e-05,0.004099151234567901,153.91388844280476,5.843,209.83599999999996,230.14599999999996,224.30299999999997,51.32207176475247,15.136986301369863,161.76386477623456
17,full,656.473501396606,15474.17258544723,12.157247112944408,53.140824152725955,1.3503086419753087e-05,0.001257716049382716,97.02007238233021,6.919979999999999,70.808,230.14599999999996,223.22601999999995,99.21213081305682,88.95348837209302,111.47654899691358
17,center,1468.5671106939515,34209.667714753145,18.048612724470324,44.23730436209161,4.8225308641975306e-05,0.004038869598765432,153.89847200520828,5.853999999999999,209.83599999999996,230.14599999999996,224.29199999999997,51.397216667817915,15.136986301369863,161.73482108410494
18,full,655.6489136394183,15464.397399753261,12.176056412057338,53.12018534085239,1.54320987654321e-05,0.0012962962962962963,97.08084167631169,7.249779999999994,70.8425,230.14599999999996,222.89621999999997,99.30910403877047,89.25,111.55076195987654
18,center,1474.435541250742,34243.04013621818,18.123056515144103,44.23144264406316,6.028163580246913e-05,0.003990644290123457,153.92385353973765,5.878890000000001,209.83599999999996,230.14599999999996,224.26710999999995,51.49696730518082,15.136986301369863,161.83142843364197
19,full,656.1801814866557,15480.946622382136,12.16291787025324,53.11048162174398,2.1219135802469135e-05,0.0012982253086419753,97.10131401620367,7.099,70.87700000000001,230.14599999999996,223.04699999999997,99.17339826133754,88.95348837209302,111.53025655864198
19,center,1472.105799820614,34178.95807064828,18.061668322160788,44.21390694745248,8.439429012345679e-05,0.004111207561728395,153.93700672743054,5.86045,209.83599999999996,230.14599999999996,224.28554999999994,51.23254778260971,15.136986301369863,161.80461516203704
