trial_idx,start_marker,target_marker,target_x_mm,target_y_mm,ball_start_x_mm,ball_start_y_mm,settled,settled_at_s,t_in_trial_s,x_mm,y_mm,vx_mm_s,vy_mm_s,speed_mm_s,err_mm,v_toward_target_mm_s
1,1,2,120.0,0.0,-118.29539982602985,-29.494960044225706,False,,1.165999947261298e-06,-118.29539982602985,-29.494960044225706,1.2677494613916036,0.2357885690613963,1.2894901884693508,240.113827686491,1.2871122091661396
1,1,2,120.0,0.0,-118.29539982602985,-29.494960044225706,False,,0.03137724799989883,-118.25562281497383,-29.487561922748185,3.639682612352317,2.2143118552178294,4.26033643164692,240.07344316083564,3.8841010206078543
1,1,2,120.0,0.0,-118.29539982602985,-29.494960044225706,False,,0.05691813099974752,-118.11334750334635,-29.389871180521972,9.144828710053389,7.609960503295383,11.897032865295971,239.92025922638766,10.00816497580768
1,1,2,120.0,0.0,-118.29539982602985,-29.494960044225706,False,,0.07981809099965176,-117.83054264621387,-29.137887651191086,6.165394144869424,5.757301872976996,8.435556283860276,239.60881351103507,6.8197602012482905
1,1,2,120.0,0.0,-118.29539982602985,-29.494960044225706,False,,0.10161505199994281,-117.82445961700705,-29.121242766792832,-2.517729011700794,-1.900798291000342,3.1546780373644596,239.6007520280433,-2.7300880511266836
1,1,2,120.0,0.0,-118.29539982602985,-29.494960044225706,False,,0.12320612399980746,-117.93863573166544,-29.219267577601514,-3.408722666428048,-2.919350563367175,4.487983726402379,239.72601021086064,-3.7391357963739744
1,1,2,120.0,0.0,-118.29539982602985,-29.494960044225706,False,,0.16213014300001305,-117.93943688158899,-29.21917256359541,-0.5478685962316376,-0.4846416032783054,0.7314625638848454,239.7267938066766,-0.6028544812003565
1,1,2,120.0,0.0,-118.29539982602985,-29.494960044225706,False,,0.1822549019998405,-117.9559490382875,-29.23399397253637,-6.778387736800596,-3.1419374911448585,7.471165338062755,239.74498970009438,-7.1109267837909655
1,1,2,120.0,0.0,-118.29539982602985,-29.494960044225706,False,,0.21054700499962564,-118.38469359499989,-29.418560914188284,-7.04302460314284,-3.0217261229448695,7.6638778906349225,240.1930762254478,-7.360095985268041
1,1,2,120.0,0.0,-118.29539982602985,-29.494960044225706,False,,0.2306874309997511,-118.41024930969351,-29.429211512532728,-0.21331149744469258,-0.0765510739431079,0.22663155531377413,240.21974412225072,-0.22108293066022464
1,1,2,120.0,0.0,-118.29539982602985,-29.494960044225706,False,,0.25876268199999686,-118.37492727878661,-29.413660736439738,1.6732947637522102,-0.6600745583506296,1.798781195416036,240.18278329864776,1.5798647317426737
1,1,2,120.0,0.0,-118.29539982602985,-29.494960044225706,False,,0.29457081499958804,-118.29604829987295,-29.49273993079789,-92.58262656559555,-10.695539445861527,93.1983760900505,240.1141985471935,-93.19530019672047
