focus_pos,variance_of_laplacian,tenengrad,sum_modified_laplacian,normalized_variance,over_clip_frac,under_clip_frac,mean,p01,p50,p99,dynamic_range,sat_mean,sat_p50,val_mean
0,22.33123384868201,2553.645428388401,2.8858625990849958,26.745197244638394,0.0,0.0,183.76398264793113,15.873249999999999,224.782875,244.146,228.27274999999997,42.72630661752267,13.748081770172492,192.886890552662
5,22.388988405906204,2551.0993696611413,2.8853129831922524,26.738815661751218,0.0,0.0,183.65006482385706,15.834624999999999,224.40187499999996,244.146,228.311375,43.03690178337397,13.776739152372437,192.8509174864969
10,22.645418120749397,2564.980516584534,2.8960365008929907,26.773480343567904,0.0,0.0,183.61299170072576,15.849375,224.40825,244.146,228.296625,42.91984087481038,13.755186721991702,192.78605746045525
15,22.594367490686757,2578.202246348883,2.8982750724788398,26.794459373223116,0.0,0.0,183.60128098325373,15.889125,224.36987499999998,244.146,228.25687499999998,42.997858748178174,13.755186721991702,192.7622371720679
20,22.62575455448936,2596.129410746006,2.8984534621642153,26.824678798772943,0.0,0.0,183.5778387677228,15.833,224.65225,244.146,228.313,42.86675145084105,13.755186721991702,192.710420584973
25,22.929745519160953,2609.094518193601,2.9220564096369355,26.850370655674528,0.0,0.0,183.5290311068311,15.847216249999999,224.344875,244.146,228.29878374999998,42.96774599372569,13.755186721991702,192.66327582465277
30,511.34078343864496,16080.396799411721,8.418050979840487,34.35027162098213,5.576051311728395e-05,0.0008544921875,169.2862498342255,9.906505,216.33599999999998,231.33415499999995,221.42764999999997,42.50970858268401,11.856847785483138,176.23911765769674
35,23.513307357377997,2657.831555088773,2.941554036490192,26.917724035697596,0.0,0.0,183.4996725124783,15.76704625,224.4923125,244.146,228.37895375,42.714333971299915,13.748199455074023,192.61692979600696
40,23.48124427479594,2657.4910441429697,2.9324017651808023,26.89677087530331,0.0,0.0,183.430506266276,15.845625000000002,224.41062499999998,244.08274999999998,228.237125,42.89263147261718,13.762350881742739,192.52690972222223
45,102.72902564715035,7797.041250044722,4.978997067206539,30.69760376142982,0.0,4.521122685185185e-06,175.6288085108627,13.315315000000002,219.96037499999997,236.03849999999997,222.72318499999997,42.48798075548827,12.558450671311945,183.5493133921682
50,25.713206363228522,2875.4960628889207,3.0576304512037016,27.12643030326744,0.0,0.0,183.00220984188127,15.815375,224.14737499999995,243.83599999999996,228.02062499999994,42.75636087291437,13.755186721991702,192.05357228973764
55,82.44546476099529,5526.319264522177,4.3597575537016215,28.58028451171643,0.0,0.0,178.03148718261718,14.240178749999998,220.55474999999998,237.960375,223.72019625,42.09723765875928,13.341281220834219,186.2569549937307
60,32.36675499471599,3671.5348502348497,3.3417739164872557,27.926594942968492,0.0,0.0,181.70178233959055,15.290681250000002,223.95162499999998,242.910375,227.61969375,42.99406947403533,13.85972208913423,190.86648220486111
65,30.68848346256459,3497.584346544558,3.30885189087195,27.808469991875945,0.0,0.0,181.8268416160301,14.9758325,224.26887499999998,242.201625,227.2257925,43.26723981750011,13.87029288702929,191.05363859953704
70,33.63071420014989,3814.2777027843185,3.438156352448992,28.195323422038918,0.0,0.0,181.12024463342735,14.298368749999998,224.20162499999998,242.02974999999998,227.73138125,43.53009087633924,13.914124743695478,190.35526379243828
75,37.846457403895386,4203.068002614694,3.6079959219185804,28.68796289259184,0.0,0.0,180.2059738920235,13.97396625,223.94349999999997,241.63187499999998,227.65790875,43.80328382386975,13.972710661511574,189.4759235146605
80,42.42638242936053,4692.419554571029,3.8018216118437174,29.141045048867404,0.0,0.0,179.72815928970147,13.978124999999999,223.840125,241.59099999999998,227.61287499999997,43.442055687546414,13.841516345769893,188.58131389853395
85,53.879627023126474,5679.964231957515,4.193628310478546,29.976671091580904,0.0,0.0,178.8347541895737,13.884539999999998,223.65225,240.25725,226.37270999999998,43.178605047116484,13.841456394642268,187.49151083863813
90,85.01464297494834,7667.715241406651,4.96111583005089,31.392829541409693,0.0,1.5070408950617283e-06,177.46342695523487,13.828374999999998,223.591,239.836,226.00762500000002,43.491440621130565,13.811290150153575,185.8313244478202
95,118.18112521860095,9823.35583974113,5.7313285737877395,32.88314154354808,0.0,9.04224537037037e-06,175.94245520170233,13.1609975,223.591,238.85224999999997,225.6912525,43.60441227727682,13.958018075616454,184.3626437717014
100,157.34280653330836,11964.39243123812,6.428545606620346,34.49857311765854,0.0,7.5352044753086416e-06,174.3834147225839,12.622999999999998,223.02974999999998,238.04587499999997,225.42287499999998,43.78904782184245,13.987341772151899,182.6908833068094
105,193.97058853436448,14460.233196151612,7.032244421881882,36.302217039544644,0.0,1.657744984567901e-05,172.7470115831163,12.170325,221.98075,237.65224999999998,225.481925,43.942410230285006,13.66064788879675,180.60276210455245
110,266.6917099620605,18243.064939684842,8.212960445515487,38.16646690594365,1.9591531635802468e-05,3.0140817901234566e-05,171.06245976050104,11.6082925,221.836,236.146,224.5377075,44.13107696344227,14.020057978649413,178.94431182484567
115,507.88280897608973,23401.452983759333,10.883307949429955,40.04906270346256,3.1647858796296295e-05,0.00021249276620370367,169.251011534891,10.089305,221.836,236.3435,226.25419499999998,44.62883846011953,14.106382978723403,176.97526493778935
120,1007.9198887562004,29632.929506534798,14.65506475999413,41.880140444739894,0.0001642674575617284,0.0009057315779320988,167.47467130985967,8.015915,220.48537499999998,237.84867749999998,229.83276249999997,45.5447900567059,13.65814438931545,174.96438108844524
