t_s,roll,pitch,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual,mt_0,enc_0,vel_0,iq_sp_0,iq_0,mt_1,enc_1,vel_1,iq_sp_1,iq_1,mt_2,enc_2,vel_2,iq_sp_2,iq_2,mt_3,enc_3,vel_3,iq_sp_3,iq_3,mt_4,enc_4,vel_4,iq_sp_4,iq_4,mt_5,enc_5,vel_5,iq_sp_5,iq_5
0.0000,-0.01980,0.02423,-0.01980,0.02423,-0.01671,0.02564,-1.19324,1.83632,-1.17653,1.81067,-1.17653,1.81067,0.00000,0.00000,16,0.00067,-0.03509,-0.01728,-0.00947,3.48087,3.48195,-0.08266,-0.07621,-0.00104,2.68080,2.70405,-0.02556,-0.01005,-0.00052,3.73389,3.78806,-0.13779,-0.12339,-0.01042,3.72281,3.84212,0.06650,0.08355,0.01174,3.43590,3.44033,-0.04905,-0.02868,0.00525,3.96837,3.85734
0.1010,-0.01855,0.02440,-0.01855,0.02440,-0.01843,0.02383,-1.19324,1.83560,-1.17481,1.81176,-1.17481,1.81176,0.00000,0.00000,16,0.00034,-0.03517,-0.01751,-0.00850,3.50881,3.57629,-0.08258,-0.07620,0.00223,2.67079,2.84026,-0.02548,-0.01003,0.00431,3.74932,3.72120,-0.13778,-0.12363,-0.00495,3.72350,3.62552,0.06650,0.08325,-0.00921,3.45062,3.66438,-0.04913,-0.02887,-0.00256,3.93628,4.09814
0.2058,-0.02070,0.02349,-0.02070,0.02349,-0.01962,0.02347,-1.19324,1.83488,-1.17362,1.81141,-1.17362,1.81141,0.00000,0.00000,16,0.00206,-0.03518,-0.01771,-0.00249,3.51074,3.41341,-0.08252,-0.07619,0.00777,2.70836,2.81176,-0.02543,-0.01004,0.00223,3.79671,3.82702,-0.13782,-0.12386,0.00324,3.76878,3.82810,0.06646,0.08299,-0.00723,3.43730,3.57794,-0.04915,-0.02903,-0.00531,3.99714,4.14280
0.3078,-0.02068,0.02128,-0.02068,0.02128,-0.02116,0.02226,-1.19260,1.83420,-1.17144,1.81194,-1.17144,1.81194,0.00000,0.00000,0,0.00033,-0.03525,-0.01784,0.00305,3.54654,3.55265,-0.08243,-0.07619,0.00812,2.71034,2.96867,-0.02533,-0.01005,0.00480,3.81631,3.85639,-0.13784,-0.12415,-0.01301,3.73670,3.93533,0.06642,0.08284,-0.00191,3.49341,3.46107,-0.04923,-0.02918,0.00311,4.07358,4.15713
0.4081,-0.02126,0.01611,-0.02126,0.01611,-0.02063,0.01863,-1.19198,1.83381,-1.17136,1.81518,-1.17136,1.81518,0.00000,0.00000,32,0.00029,-0.03538,-0.01804,-0.01079,3.55260,3.45148,-0.08244,-0.07620,-0.00075,2.72359,2.84638,-0.02531,-0.01007,0.00082,3.85469,3.75083,-0.13771,-0.12443,-0.00573,3.73903,3.84984,0.06654,0.08267,-0.00123,3.51043,3.54973,-0.04935,-0.02931,0.00281,4.07119,3.94923
0.5089,-0.02843,0.01590,-0.02843,0.01590,-0.02615,0.01611,-1.19126,1.83381,-1.16511,1.81770,-1.16511,1.81770,0.00000,0.00000,32,0.00026,-0.03562,-0.01823,0.00895,3.64821,3.55850,-0.08216,-0.07620,0.00163,2.72053,2.58471,-0.02502,-0.01007,-0.00307,3.84894,3.84998,-0.13773,-0.12465,0.00096,3.78360,3.84426,0.06648,0.08250,0.00079,3.51815,3.50473,-0.04961,-0.02946,-0.00312,4.12124,4.23657
0.6109,-0.03088,0.01376,-0.03088,0.01376,-0.02951,0.01483,-1.19041,1.83381,-1.16091,1.81898,-1.16091,1.81898,0.00000,0.00000,32,0.00029,-0.03575,-0.01845,-0.00297,3.65372,3.60800,-0.08197,-0.07620,-0.00147,2.71047,2.79905,-0.02482,-0.01007,-0.00163,3.87056,3.89532,-0.13776,-0.12490,0.00096,3.79240,3.71493,0.06642,0.08238,0.00616,3.59049,3.61431,-0.04976,-0.02960,-0.00800,4.13170,4.14137
0.7125,-0.03022,0.01107,-0.03022,0.01107,-0.03059,0.01243,-1.18950,1.83381,-1.15891,1.82138,-1.15891,1.82138,0.00000,0.00000,32,0.00033,-0.03589,-0.01867,-0.01053,3.67203,3.55647,-0.08188,-0.07621,-0.00187,2.71365,2.78777,-0.02472,-0.01010,-0.00384,3.86986,3.87340,-0.13770,-0.12519,-0.01657,3.74970,3.76461,0.06646,0.08225,0.00823,3.58506,3.43623,-0.04991,-0.02972,0.00422,4.20906,4.19385
0.8138,-0.03446,0.00930,-0.03446,0.00930,-0.03270,0.01066,-1.18856,1.83381,-1.15585,1.82315,-1.15585,1.82315,0.00000,0.00000,32,0.00038,-0.03603,-0.01888,-0.00076,3.71154,3.93716,-0.08175,-0.07621,-0.00249,2.71758,2.73997,-0.02458,-0.01011,0.00218,3.90371,3.78800,-0.13769,-0.12538,0.00210,3.81116,3.73136,0.06645,0.08214,-0.01012,3.58692,3.57324,-0.05005,-0.02988,-0.00999,4.21459,4.22738
0.9160,-0.03377,0.00901,-0.03377,0.00901,-0.03401,0.00987,-1.18754,1.83381,-1.15353,1.82394,-1.15353,1.82394,0.00000,0.00000,32,0.00031,-0.03611,-0.01914,-0.00235,3.74663,3.87232,-0.08164,-0.07620,0.00137,2.70011,2.63495,-0.02447,-0.01012,0.00539,3.95533,3.89042,-0.13770,-0.12565,-0.00075,3.80291,3.87905,0.06642,0.08203,-0.00015,3.62144,3.57060,-0.05014,-0.03003,-0.00057,4.26088,4.06426
1.0197,-0.03444,0.00977,-0.03444,0.00977,-0.03432,0.00917,-1.18651,1.83381,-1.15219,1.82465,-1.15219,1.82465,0.00000,0.00000,32,0.00229,-0.03617,-0.01935,0.00406,3.74246,3.65373,-0.08158,-0.07620,0.00077,2.74004,2.71306,-0.02441,-0.01016,0.00486,3.95493,4.06290,-0.13770,-0.12590,-0.00199,3.82586,3.94118,0.06641,0.08188,0.00550,3.63690,3.85576,-0.05020,-0.03014,0.00121,4.27901,4.26324
1.1187,-0.03535,0.00453,-0.03535,0.00453,-0.03574,0.00622,-1.18546,1.83381,-1.14972,1.82759,-1.14972,1.82759,0.00000,0.00000,32,0.00035,-0.03634,-0.01956,0.00252,3.75414,3.76373,-0.08148,-0.07621,-0.00269,2.72506,2.65325,-0.02428,-0.01019,0.00069,3.93764,4.09277,-0.13762,-0.12621,-0.01417,3.78919,3.79041,0.06646,0.08170,-0.00726,3.61628,3.69079,-0.05038,-0.03025,0.00346,4.33222,4.34311
1.2213,-0.03405,0.00686,-0.03405,0.00686,-0.03476,0.00593,-1.18440,1.83381,-1.14964,1.82788,-1.14964,1.82788,0.00000,0.00000,32,0.00029,-0.03635,-0.01986,0.00060,3.79427,3.54268,-0.08148,-0.07619,0.00526,2.73924,2.64292,-0.02428,-0.01021,-0.00115,3.98258,3.98485,-0.13761,-0.12645,0.00170,3.84114,3.67282,0.06647,0.08155,-0.01907,3.64659,3.50019,-0.05039,-0.03038,0.00118,4.37580,4.48974
