t_s,roll,pitch,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual,mt_0,enc_0,vel_0,iq_sp_0,iq_0,mt_1,enc_1,vel_1,iq_sp_1,iq_1,mt_2,enc_2,vel_2,iq_sp_2,iq_2,mt_3,enc_3,vel_3,iq_sp_3,iq_3,mt_4,enc_4,vel_4,iq_sp_4,iq_4,mt_5,enc_5,vel_5,iq_sp_5,iq_5
0.0000,-3.57718,-3.32459,-3.57718,-3.32459,-3.57758,-3.32291,1.42242,1.67709,5.02129,5.02066,5.00000,5.00000,0.00000,0.00000,12,0.00099,-0.62382,-0.62299,0.00482,1.84145,1.89838,-0.13527,-0.13519,-0.00139,-0.17334,-0.17591,-0.07086,-0.07190,-0.00529,2.21377,2.11563,-0.45432,-0.45479,0.00703,-0.30175,-0.29665,-0.30381,-0.30489,0.00615,1.03498,1.15493,-0.66160,0.23429,-0.00442,5.97438,5.99898
0.1008,-3.57193,-3.32520,-3.57193,-3.32520,-3.57380,-3.32428,1.42620,1.67572,5.02064,5.02034,5.00000,5.00000,0.00000,0.00000,12,0.00029,-0.62382,-0.62304,0.00097,1.87223,1.88213,-0.13527,-0.13519,-0.00024,-0.16572,-0.10178,-0.07086,-0.07187,0.00350,2.24687,2.28712,-0.45432,-0.45477,0.00415,-0.30436,-0.38255,-0.30381,-0.30488,0.00669,1.02721,1.04610,-0.66160,0.23429,-0.00142,5.95317,6.03508
0.2014,-3.57256,-3.32370,-3.57256,-3.32370,-3.57185,-3.32438,1.42815,1.67562,5.02174,5.01966,5.00000,5.00000,0.00000,0.00000,12,0.00030,-0.62382,-0.62308,0.00105,1.85920,1.92580,-0.13527,-0.13518,0.00309,-0.15162,-0.29615,-0.07086,-0.07187,-0.00298,2.18039,2.21911,-0.45432,-0.45476,-0.00588,-0.33287,-0.47903,-0.30381,-0.30487,0.00819,0.98976,0.78514,-0.66160,0.23428,-0.00689,5.97207,5.88704
0.3044,-3.56835,-3.32559,-3.56835,-3.32559,-3.56970,-3.32462,1.43030,1.67538,5.02084,5.02036,5.00000,5.00000,0.00000,0.00000,12,0.00072,-0.62382,-0.62314,0.00010,1.86362,1.89283,-0.13527,-0.13519,0.00091,-0.16086,-0.19232,-0.07086,-0.07186,-0.00122,2.21000,2.19766,-0.45432,-0.45473,0.00127,-0.30296,-0.33112,-0.30381,-0.30488,-0.00239,0.97282,0.97893,-0.66160,0.23430,0.00668,5.99400,5.88112
0.4059,-3.56766,-3.32490,-3.56766,-3.32490,-3.56871,-3.32472,1.43129,1.67528,5.02096,5.02002,5.00000,5.00000,0.00000,0.00000,12,0.00036,-0.62382,-0.62318,-0.00204,1.86983,1.69188,-0.13527,-0.13519,0.00099,-0.16253,-0.13931,-0.07086,-0.07184,0.00371,2.19325,2.22856,-0.45432,-0.45470,0.00300,-0.31626,-0.31473,-0.30381,-0.30488,-0.00402,0.98764,1.06822,-0.66160,0.23429,0.00097,5.99400,5.92129
0.5063,-3.57530,-3.32781,-3.57530,-3.32781,-3.57311,-3.32679,1.42689,1.67321,5.02238,5.02040,5.00000,5.00000,0.00000,0.00000,12,0.00034,-0.62382,-0.62322,-0.00247,1.88967,1.78674,-0.13527,-0.13519,-0.00140,-0.16587,-0.15235,-0.07086,-0.07184,0.00403,2.18218,2.25688,-0.45432,-0.45467,0.00592,-0.32711,-0.35182,-0.30381,-0.30487,-0.00333,0.94996,0.97313,-0.66160,0.23425,-0.01225,5.92120,6.00168
0.6066,-3.57060,-3.32550,-3.57060,-3.32550,-3.57296,-3.32557,1.42704,1.67443,5.02043,5.01992,5.00000,5.00000,0.00000,0.00000,12,0.00029,-0.62382,-0.62325,0.00264,1.89440,1.95347,-0.13527,-0.13518,0.00323,-0.14359,-0.17029,-0.07086,-0.07184,0.00367,2.17203,2.15942,-0.45432,-0.45465,-0.00213,-0.32925,-0.29837,-0.30381,-0.30487,-0.00366,0.93855,0.98574,-0.66160,0.23429,0.00543,5.99400,6.05133
0.7098,-3.56822,-3.32615,-3.56822,-3.32615,-3.56979,-3.32554,1.43021,1.67446,5.02074,5.02021,5.00000,5.00000,0.00000,0.00000,12,0.00119,-0.62382,-0.62329,-0.00917,1.87072,1.78374,-0.13527,-0.13519,-0.00038,-0.15987,-0.29712,-0.07086,-0.07184,-0.00137,2.14249,2.28992,-0.45432,-0.45463,0.00320,-0.31826,-0.33220,-0.30381,-0.30487,-0.00539,0.91855,0.87382,-0.66160,0.23429,0.01196,5.99064,6.02306
0.8100,-3.57010,-3.32612,-3.57010,-3.32612,-3.56927,-3.32605,1.43073,1.67395,5.02177,5.01999,5.00000,5.00000,0.00000,0.00000,12,0.00032,-0.62382,-0.62333,-0.00348,1.90520,1.92059,-0.13527,-0.13519,-0.00328,-0.16945,-0.26821,-0.07086,-0.07183,0.00047,2.13957,1.98790,-0.45432,-0.45460,0.00841,-0.32084,-0.27634,-0.30381,-0.30485,-0.00192,0.92788,0.87233,-0.66160,0.23428,0.00177,5.97226,5.89117
0.9130,-3.57321,-3.32852,-3.57321,-3.32852,-3.57202,-3.32811,1.42798,1.67189,5.02194,5.02014,5.00000,5.00000,0.00000,0.00000,12,0.00027,-0.62382,-0.62333,0.00277,1.92971,2.03037,-0.13527,-0.13518,0.00079,-0.15207,-0.12839,-0.07086,-0.07182,0.00216,2.14131,2.19849,-0.45432,-0.45463,-0.00633,-0.35163,-0.32302,-0.30381,-0.30484,0.00392,0.93538,0.80398,-0.66160,0.23428,0.00335,5.94953,5.95973
