t_s,roll,pitch,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual,mt_0,enc_0,vel_0,iq_sp_0,iq_0,mt_1,enc_1,vel_1,iq_sp_1,iq_1,mt_2,enc_2,vel_2,iq_sp_2,iq_2,mt_3,enc_3,vel_3,iq_sp_3,iq_3,mt_4,enc_4,vel_4,iq_sp_4,iq_4,mt_5,enc_5,vel_5,iq_sp_5,iq_5
0.0000,-3.13633,-3.60179,-3.13633,-3.60179,-3.13453,-3.60130,1.86547,1.39870,5.01958,5.02181,5.00000,5.00000,0.00000,0.00000,12,0.00036,-0.55759,-0.55440,-0.00015,2.29418,2.32667,-0.06933,-0.07299,-0.00858,-0.08517,0.08551,-0.00505,-0.00649,0.00067,2.42748,2.42054,-0.38833,-0.38842,0.00170,-0.37955,-0.31981,-0.23783,-0.23819,0.00256,4.35919,4.36336,-0.59531,0.24041,-0.00596,5.97294,6.03768
0.1014,-3.13593,-3.60381,-3.13593,-3.60381,-3.13672,-3.60340,1.86328,1.39660,5.01848,5.02179,5.00000,5.00000,0.00000,0.00000,12,0.00030,-0.55759,-0.55451,-0.00132,2.33840,2.29897,-0.06933,-0.07295,0.00526,-0.07528,0.02769,-0.00505,-0.00648,-0.00209,2.43032,2.42622,-0.38833,-0.38843,-0.00382,-0.35114,-0.30947,-0.23783,-0.23819,0.00440,4.33230,4.25273,-0.59531,0.24043,0.00446,5.99400,5.99472
0.2026,-3.13872,-3.60790,-3.13872,-3.60790,-3.13778,-3.60608,1.86222,1.39392,5.01923,5.02242,5.00000,5.00000,0.00000,0.00000,12,0.00033,-0.55759,-0.55459,0.00189,2.38619,2.42183,-0.06933,-0.07294,0.00074,-0.12740,-0.13254,-0.00505,-0.00647,-0.00191,2.40806,2.32436,-0.38833,-0.38844,-0.00592,-0.36188,-0.32247,-0.23783,-0.23820,-0.00143,4.32391,4.49423,-0.59531,0.24044,0.00723,5.98300,6.03520
0.3041,-3.13765,-3.60625,-3.13765,-3.60625,-3.13774,-3.60616,1.86226,1.39384,5.01878,5.02167,5.00000,5.00000,0.00000,0.00000,12,0.00032,-0.55759,-0.55471,0.00368,2.36290,2.38140,-0.06933,-0.07292,-0.00037,-0.15258,-0.10245,-0.00505,-0.00646,0.00155,2.39240,2.29664,-0.38833,-0.38843,-0.00240,-0.36654,-0.39045,-0.23783,-0.23821,-0.00456,4.27883,4.34902,-0.59531,0.24042,0.00804,5.99400,5.84220
0.4070,-3.13679,-3.61177,-3.13679,-3.61177,-3.13642,-3.60935,1.86358,1.39065,5.01898,5.02270,5.00000,5.00000,0.00000,0.00000,12,0.00036,-0.55759,-0.55482,-0.00992,2.38700,2.44736,-0.06933,-0.07288,0.00615,-0.21942,-0.06066,-0.00505,-0.00646,0.00161,2.37435,2.33539,-0.38833,-0.38842,0.00130,-0.35010,-0.30944,-0.23783,-0.23820,0.00076,4.29612,4.23259,-0.59531,0.24039,-0.00897,5.91335,5.95575
0.5073,-3.14029,-3.61458,-3.14029,-3.61458,-3.13952,-3.61364,1.86048,1.38636,5.01917,5.02209,5.00000,5.00000,0.00000,0.00000,12,0.00029,-0.55759,-0.55487,0.00944,2.48093,2.66495,-0.06933,-0.07287,-0.00218,-0.24702,-0.33421,-0.00505,-0.00646,-0.00169,2.35115,2.36385,-0.38833,-0.38842,-0.00124,-0.38091,-0.39761,-0.23783,-0.23820,0.00216,4.29958,4.42429,-0.59531,0.24041,-0.00005,5.95316,5.91710
0.6088,-3.14078,-3.61560,-3.14078,-3.61560,-3.14081,-3.61493,1.85919,1.38507,5.01883,5.02198,5.00000,5.00000,0.00000,0.00000,12,0.00030,-0.55759,-0.55498,0.00178,2.49014,2.43516,-0.06933,-0.07284,-0.00406,-0.30720,-0.36474,-0.00505,-0.00646,-0.00550,2.32091,2.37776,-0.38833,-0.38841,0.00624,-0.36815,-0.32447,-0.23783,-0.23820,-0.00482,4.26986,4.36401,-0.59531,0.24040,0.00090,5.97130,5.98257
0.7121,-3.13665,-3.61487,-3.13665,-3.61487,-3.13846,-3.61533,1.86154,1.38467,5.01805,5.02150,5.00000,5.00000,0.00000,0.00000,12,0.00194,-0.55759,-0.55513,-0.00483,2.44547,2.44111,-0.06933,-0.07281,-0.00562,-0.34408,-0.27228,-0.00505,-0.00644,0.00251,2.33774,2.34493,-0.38833,-0.38842,0.00343,-0.34790,-0.42752,-0.23783,-0.23822,-0.00965,4.27608,4.37618,-0.59531,0.24040,-0.00438,5.94141,6.07246
0.8110,-3.13900,-3.61555,-3.13900,-3.61555,-3.13856,-3.61539,1.86144,1.38461,5.01902,5.02176,5.00000,5.00000,0.00000,0.00000,12,0.00028,-0.55759,-0.55520,-0.00080,2.54237,2.50370,-0.06933,-0.07276,-0.00071,-0.37454,-0.44111,-0.00505,-0.00642,0.00218,2.29909,2.25149,-0.38833,-0.38841,0.00142,-0.35058,-0.18996,-0.23783,-0.23820,-0.00534,4.25907,4.23947,-0.59531,0.24042,0.00626,5.97303,6.04826
0.9122,-3.13827,-3.61716,-3.13827,-3.61716,-3.13847,-3.61672,1.86153,1.38328,5.01874,5.02189,5.00000,5.00000,0.00000,0.00000,12,0.00029,-0.55759,-0.55530,-0.00768,2.52329,2.49668,-0.06933,-0.07275,-0.00662,-0.42643,-0.49745,-0.00505,-0.00641,0.00014,2.28334,2.14138,-0.38833,-0.38842,-0.00212,-0.36792,-0.24307,-0.23783,-0.23819,0.00291,4.28989,4.17841,-0.59531,0.24040,-0.00296,5.98490,5.99665
