t_s,roll,pitch,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual,mt_0,enc_0,vel_0,iq_sp_0,iq_0,mt_1,enc_1,vel_1,iq_sp_1,iq_1,mt_2,enc_2,vel_2,iq_sp_2,iq_2,mt_3,enc_3,vel_3,iq_sp_3,iq_3,mt_4,enc_4,vel_4,iq_sp_4,iq_4,mt_5,enc_5,vel_5,iq_sp_5,iq_5
0.0000,-2.11357,-3.95605,-2.11357,-3.95605,-2.11446,-3.95549,2.88554,1.04451,5.01230,5.02397,5.00000,5.00000,0.00000,0.00000,12,0.00056,-0.42526,-0.41967,-0.01073,2.28048,2.21340,0.06242,0.06148,-0.00078,1.04129,0.98018,0.12641,0.12630,0.00481,-0.04963,-0.10983,-0.25649,-0.25706,0.00082,0.76100,0.77237,-0.10602,-0.10394,0.00832,2.41074,2.25160,-0.46286,0.24250,-0.00550,5.95413,6.05371
0.1021,-2.11320,-3.96115,-2.11320,-3.96115,-2.11252,-3.95867,2.88748,1.04133,5.01297,5.02482,5.00000,5.00000,0.00000,0.00000,12,0.00029,-0.42526,-0.42093,-0.01849,2.21503,2.31636,0.06242,0.06151,0.00771,1.03584,1.00114,0.12641,0.12629,-0.00104,-0.07657,-0.07759,-0.25649,-0.25706,0.00292,0.72519,0.88718,-0.10602,-0.10396,0.00465,2.44807,2.48177,-0.46286,0.24253,0.00742,5.96080,6.01102
0.2036,-2.10670,-3.96323,-2.10670,-3.96323,-2.10824,-3.96127,2.89176,1.03873,5.01199,5.02461,5.00000,5.00000,0.00000,0.00000,12,0.00027,-0.42526,-0.42241,-0.01619,2.19781,2.01779,0.06242,0.06150,-0.00014,0.99628,1.06459,0.12641,0.12627,-0.00417,-0.09775,0.04974,-0.25649,-0.25708,-0.00719,0.71139,0.67311,-0.10602,-0.10399,-0.00706,2.41915,2.59857,-0.46286,0.24253,0.00294,5.98068,5.94528
0.3060,-2.10757,-3.96677,-2.10757,-3.96677,-2.10796,-3.96514,2.89204,1.03486,5.01248,5.02449,5.00000,5.00000,0.00000,0.00000,12,0.00092,-0.42526,-0.42449,-0.03633,2.01771,1.90163,0.06242,0.06148,-0.00764,0.98719,1.02617,0.12641,0.12628,-0.00210,-0.08506,-0.10762,-0.25649,-0.25708,-0.00731,0.70541,0.58078,-0.10602,-0.10400,-0.00564,2.47367,2.54686,-0.46286,0.24255,0.01101,5.99400,6.06572
0.4064,-2.10035,-3.97456,-2.10035,-3.97456,-2.10372,-3.97032,2.89628,1.02968,5.01118,5.02564,5.00000,5.00000,0.00000,0.00000,12,0.00027,-0.42526,-0.42763,-0.01148,1.85967,1.76044,0.06242,0.06151,0.00415,0.99289,1.03601,0.12641,0.12630,0.00595,-0.08109,-0.20173,-0.25649,-0.25708,-0.00723,0.69715,0.66062,-0.10602,-0.10401,-0.00893,2.48209,2.48281,-0.46286,0.24250,-0.01052,5.91804,5.97516
0.5071,-2.09666,-3.97322,-2.09666,-3.97322,-2.09894,-3.97372,2.90106,1.02628,5.01162,5.02363,5.00000,5.00000,0.00000,0.00000,12,0.00027,-0.42526,-0.42817,-0.01255,1.79724,1.77472,0.06242,0.06152,-0.00420,0.96712,0.99213,0.12641,0.12630,0.00291,-0.06425,0.07676,-0.25649,-0.25707,-0.00360,0.70500,0.60465,-0.10602,-0.10402,-0.00506,2.51221,2.31372,-0.46286,0.24250,-0.00872,5.97029,6.03892
0.6097,-2.09374,-3.97291,-2.09374,-3.97291,-2.09510,-3.97314,2.90490,1.02686,5.01199,5.02374,5.00000,5.00000,0.00000,0.00000,12,0.00034,-0.42526,-0.42820,-0.00441,1.79698,1.77045,0.06242,0.06154,0.00192,0.95141,1.02343,0.12641,0.12630,0.00603,-0.08300,-0.11614,-0.25649,-0.25707,-0.00299,0.70122,0.66978,-0.10602,-0.10406,-0.00829,2.53906,2.58489,-0.46286,0.24253,0.00290,5.97590,5.97564
0.7118,-2.08945,-3.97317,-2.08945,-3.97317,-2.09195,-3.97295,2.90805,1.02705,5.01148,5.02393,5.00000,5.00000,0.00000,0.00000,12,0.00034,-0.42526,-0.42825,-0.00517,1.76522,1.83656,0.06242,0.06152,-0.00810,0.93229,0.94645,0.12641,0.12633,0.01344,-0.04598,-0.00589,-0.25649,-0.25706,0.00356,0.68934,0.61999,-0.10602,-0.10403,0.00173,2.57466,2.54760,-0.46286,0.24252,0.00181,5.98182,5.98837
0.8131,-2.09238,-3.97276,-2.09238,-3.97276,-2.09241,-3.97292,2.90759,1.02708,5.01254,5.02377,5.00000,5.00000,0.00000,0.00000,12,0.00036,-0.42526,-0.42822,-0.00188,1.71608,1.70718,0.06242,0.06155,0.00129,0.96709,0.88726,0.12641,0.12628,-0.00410,-0.09660,-0.00964,-0.25649,-0.25707,-0.00439,0.65152,0.75138,-0.10602,-0.10405,0.00105,2.62025,2.73288,-0.46286,0.24253,0.00473,5.99400,5.90259
0.9135,-2.08926,-3.97380,-2.08926,-3.97380,-2.09060,-3.97350,2.90940,1.02650,5.01197,5.02397,5.00000,5.00000,0.00000,0.00000,12,0.00027,-0.42526,-0.42823,0.00271,1.69287,1.86950,0.06242,0.06155,0.00194,0.92726,0.93806,0.12641,0.12629,-0.00016,-0.08425,-0.11306,-0.25649,-0.25708,-0.01000,0.65458,0.51992,-0.10602,-0.10405,0.00570,2.65417,2.72539,-0.46286,0.24253,0.00332,5.99400,6.00761
1.0163,-2.09172,-3.97186,-2.09172,-3.97186,-2.09093,-3.97272,2.90907,1.02728,5.01288,5.02347,5.00000,5.00000,0.00000,0.00000,12,0.00071,-0.42526,-0.42822,-0.00721,1.63003,1.55993,0.06242,0.06155,-0.00402,0.92895,0.95150,0.12641,0.12630,0.00023,-0.07936,-0.16528,-0.25649,-0.25703,0.01024,0.70201,0.74282,-0.10602,-0.10410,-0.00510,2.61956,2.57282,-0.46286,0.24250,-0.00308,5.96370,5.92553
1.1174,-2.09485,-3.97164,-2.09485,-3.97164,-2.09347,-3.97197,2.90653,1.02803,5.01315,5.02369,5.00000,5.00000,0.00000,0.00000,12,0.00029,-0.42526,-0.42819,0.00035,1.63491,1.52675,0.06242,0.06154,-0.01235,0.88892,0.87264,0.12641,0.12628,-0.00882,-0.08523,-0.12081,-0.25649,-0.25706,-0.00570,0.66651,0.60436,-0.10602,-0.10407,0.00747,2.66197,2.54411,-0.46286,0.24252,0.00558,5.99400,5.91843
1.2177,-2.09137,-3.97263,-2.09137,-3.97263,-2.09257,-3.97265,2.90743,1.02735,5.01204,5.02383,5.00000,5.00000,0.00000,0.00000,12,0.00029,-0.42526,-0.42819,0.00339,1.60856,1.63591,0.06242,0.06157,-0.00191,0.89559,0.90576,0.12641,0.12632,0.00951,-0.07001,-0.19767,-0.25649,-0.25703,0.01034,0.66090,0.57948,-0.10602,-0.10410,0.00002,2.70882,2.80711,-0.46286,0.24252,0.00108,5.96885,5.95734
1.3186,-2.09215,-3.97518,-2.09215,-3.97518,-2.09202,-3.97319,2.90798,1.02681,5.01261,5.02469,5.00000,5.00000,0.00000,0.00000,12,0.00042,-0.42526,-0.42819,0.00283,1.54204,1.50412,0.06242,0.06158,-0.00433,0.87988,0.91864,0.12641,0.12631,0.00804,-0.08516,-0.09227,-0.25649,-0.25704,0.00438,0.66298,0.62061,-0.10602,-0.10414,-0.00218,2.68583,2.59953,-0.46286,0.24252,0.00753,5.99098,5.88546
1.4217,-2.08666,-3.97478,-2.08666,-3.97478,-2.08893,-3.97488,2.91107,1.02511,5.01156,5.02381,5.00000,5.00000,0.00000,0.00000,12,0.00152,-0.42526,-0.42817,0.00582,1.52389,1.41066,0.06242,0.06160,-0.00044,0.86349,0.91883,0.12641,0.12629,-0.00117,-0.09049,0.05935,-0.25649,-0.25705,-0.00004,0.63724,0.58542,-0.10602,-0.10414,0.00431,2.75157,2.68908,-0.46286,0.24251,-0.00177,5.97328,6.19569
