t_s,roll,pitch,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual,mt_0,enc_0,vel_0,iq_sp_0,iq_0,mt_1,enc_1,vel_1,iq_sp_1,iq_1,mt_2,enc_2,vel_2,iq_sp_2,iq_2,mt_3,enc_3,vel_3,iq_sp_3,iq_3,mt_4,enc_4,vel_4,iq_sp_4,iq_4,mt_5,enc_5,vel_5,iq_sp_5,iq_5
0.0000,-1.26864,-4.37940,-1.26864,-4.37940,-1.26910,-4.37922,3.73090,0.62078,5.00741,5.02635,5.00000,5.00000,0.00000,0.00000,12,0.00027,-0.29311,-0.28658,0.00897,1.44916,1.43054,0.19396,0.19329,-0.00467,1.18281,1.18669,0.25765,0.25679,0.00842,1.02523,1.06362,-0.12485,-0.11238,-0.00399,1.20629,1.30939,0.02559,0.02690,-0.00018,1.07043,1.07816,-0.33060,0.24393,-0.00255,5.96389,6.06782
0.1012,-1.26299,-4.38106,-1.26299,-4.38106,-1.26615,-4.38058,3.73385,0.61942,5.00624,5.02649,5.00000,5.00000,0.00000,0.00000,12,0.00036,-0.29311,-0.28699,-0.00771,1.46141,1.46043,0.19396,0.19330,0.00172,1.20000,1.06590,0.25765,0.25678,0.00259,0.99261,0.95683,-0.12485,-0.11269,-0.00708,1.32157,1.28481,0.02559,0.02690,0.00732,1.10517,1.16559,-0.33060,0.24398,0.01731,5.99400,6.03100
0.2042,-1.26421,-4.38076,-1.26421,-4.38076,-1.26360,-4.38027,3.73640,0.61973,5.00784,5.02649,5.00000,5.00000,0.00000,0.00000,12,0.00027,-0.29311,-0.28728,0.00282,1.52041,1.46955,0.19396,0.19327,-0.01152,1.16680,1.15269,0.25765,0.25678,-0.00334,0.96379,1.06975,-0.12485,-0.11308,-0.00223,1.45415,1.48046,0.02559,0.02687,-0.00436,1.10511,1.10922,-0.33060,0.24396,0.01659,5.99400,5.84464
0.3059,-1.26000,-4.38352,-1.26000,-4.38352,-1.26154,-4.38233,3.73846,0.61767,5.00691,5.02680,5.00000,5.00000,0.00000,0.00000,12,0.00033,-0.29311,-0.28764,-0.00723,1.56991,1.60334,0.19396,0.19332,0.00724,1.18321,1.27301,0.25765,0.25679,0.00207,0.97434,1.02154,-0.12485,-0.11350,-0.00389,1.56834,1.45481,0.02559,0.02686,-0.00561,1.11146,1.17587,-0.33060,0.24394,0.00154,5.94157,5.94256
0.4073,-1.26517,-4.39101,-1.26517,-4.39101,-1.26402,-4.38737,3.73598,0.61263,5.00808,5.02788,5.00000,5.00000,0.00000,0.00000,12,0.00026,-0.29311,-0.28800,0.00095,1.61343,1.47757,0.19396,0.19331,-0.00303,1.13365,1.18362,0.25765,0.25678,-0.00341,0.97718,1.05937,-0.12485,-0.11394,-0.01521,1.66416,1.65658,0.02559,0.02688,0.00079,1.12257,1.07123,-0.33060,0.24391,-0.01393,5.95744,6.06424
0.5095,-1.26288,-4.39325,-1.26288,-4.39325,-1.26420,-4.39298,3.73580,0.60702,5.00702,5.02647,5.00000,5.00000,0.00000,0.00000,12,0.00025,-0.29311,-0.28836,-0.00182,1.64108,1.58840,0.19396,0.19331,0.00009,1.17291,1.18087,0.25765,0.25677,-0.00568,0.95206,0.88704,-0.12485,-0.11452,-0.00811,1.75936,1.69535,0.02559,0.02687,0.00232,1.13890,1.28397,-0.33060,0.24394,0.00254,5.93471,6.01682
0.6110,-1.26502,-4.39935,-1.26502,-4.39935,-1.26461,-4.39762,3.73539,0.60238,5.00777,5.02713,5.00000,5.00000,0.00000,0.00000,12,0.00026,-0.29311,-0.28867,-0.00337,1.69959,1.58482,0.19396,0.19330,-0.00748,1.13370,1.15687,0.25765,0.25680,0.00092,0.94446,0.95892,-0.12485,-0.11507,-0.01016,1.83570,1.81760,0.02559,0.02688,0.00362,1.16148,1.16704,-0.33060,0.24395,0.00815,5.97469,5.99045
0.7140,-1.26538,-4.40262,-1.26538,-4.40262,-1.26513,-4.40142,3.73487,0.59858,5.00770,5.02692,5.00000,5.00000,0.00000,0.00000,12,0.00036,-0.29311,-0.28893,-0.00340,1.72803,1.84202,0.19396,0.19331,-0.00520,1.13875,1.25407,0.25765,0.25681,0.00252,0.91240,0.99619,-0.12485,-0.11580,-0.00497,1.94347,1.87365,0.02559,0.02689,0.01221,1.21127,1.12355,-0.33060,0.24392,-0.00864,5.97080,6.06309
0.8178,-1.26512,-4.40315,-1.26512,-4.40315,-1.26516,-4.40269,3.73484,0.59731,5.00757,5.02661,5.00000,5.00000,0.00000,0.00000,12,0.00031,-0.29311,-0.28911,0.00172,1.75117,1.69579,0.19396,0.19333,0.00771,1.15148,1.07095,0.25765,0.25679,-0.00657,0.92694,0.90079,-0.12485,-0.11656,-0.00314,1.97361,1.92844,0.02559,0.02686,-0.00499,1.19201,1.04494,-0.33060,0.24395,0.00444,5.99400,5.93510
0.9223,-1.26513,-4.40807,-1.26513,-4.40807,-1.26371,-4.40589,3.73629,0.59411,5.00819,5.02737,5.00000,5.00000,0.00000,0.00000,12,0.00034,-0.29311,-0.28932,0.00202,1.80931,1.70653,0.19396,0.19333,0.00290,1.12928,1.21172,0.25765,0.25680,-0.00045,0.91030,0.98298,-0.12485,-0.11753,-0.01093,2.01792,1.99954,0.02559,0.02685,-0.00417,1.20355,1.27602,-0.33060,0.24394,0.00307,5.95957,5.96202
