phase,trial_idx,start_marker,target_marker,target_x_mm,target_y_mm,ball_start_x_mm,ball_start_y_mm,settled,settled_at_s,t_in_trial_s,x_mm,y_mm,vx_mm_s,vy_mm_s,speed_mm_s,err_mm,v_toward_target_mm_s,imu_pitch_deg,imu_roll_deg,cmd_pitch_deg,cmd_roll_deg,phase_code
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,2.0930001483066007e-06,-114.03374910260045,-43.1855851642822,0.0,0.0,0.0,,,0.2689685821533203,0.15452678501605988,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.010118960999534465,-114.03374910260045,-43.1855851642822,32.59429707482195,10.448710106586077,34.22811336742387,,,0.2689685821533203,0.15452678501605988,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.02490473500074586,-112.84747506689966,-42.805302887368725,62.24281687505891,19.892709827899466,65.34438121858012,,,0.26649269461631775,0.14619168639183044,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.048533118000705144,-112.05599048414423,-42.55528472423511,-6.851731388725966,-15.431935899582186,16.884634098258278,,,0.26649269461631775,0.14619168639183044,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.05864850400030264,-112.30002655654893,-42.82403302752226,-13.084883826565601,-14.409920191090805,19.464325949498598,,,0.26649269461631775,0.14619168639183044,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.07063713000025018,-112.30002655654893,-42.82403302752226,-2.5073426196031505,-1.9142759159676643,3.1545553243733466,,,0.26649269461631775,0.14619168639183044,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.08131305399911071,-112.35063195454796,-42.86266863075021,4.730329470218749,-1.5389723911098372,4.974379651516188,,,0.26649269461631775,0.14619168639183044,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.09182040300038352,-112.20299045666596,-42.85732922670965,2.412076532642004,-8.019805003073088,8.37468718739025,,,0.26330867409706116,0.13721953332424164,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.11444060100075149,-112.71521880740639,-43.45402261878647,-7.780925094813028,-12.61060057647478,14.817896012271014,,,0.26330867409706116,0.13721953332424164,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.13057298599960632,-112.66973000917788,-43.49905353987396,2.0636997288638668,0.8493106993391848,2.23163286293351,,,0.24020272493362427,0.10715723782777786,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.15010951799922623,-112.64729914106778,-43.39632687650383,0.6902576224274526,3.490039213116461,3.557643784080942,,,0.24020272493362427,0.10715723782777786,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.17439362199911557,-112.64435850840492,-43.36494650378229,0.03830065654892678,0.40871778825294314,0.4105084295437263,,,0.21382221579551697,0.09944143891334534,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.18562773099984042,-112.64435850840492,-43.36494650378229,0.010987236641994969,0.7111810076341953,0.7112658750345167,,,0.21382221579551697,0.09944143891334534,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.19664770899908035,-112.64411865805629,-43.34942148887877,0.012083018072644336,0.7821086637122789,0.7822019951262912,,,0.21382221579551697,0.09944143891334534,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.21040046499911114,-112.64411865805629,-43.34942148887877,0.11317767163382086,0.4221042667272741,0.437013955550418,,,0.21382221579551697,0.09944143891334534,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.220548740000595,-112.64212256915528,-43.3419769317526,-18.691790592472444,23.02698068568941,29.658470544718828,,,0.21382221579551697,0.09944143891334534,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.24318930899971747,-114.01938377825462,-41.69458007810666,-30.697830965412322,36.33895524492755,47.56970143141404,,,0.21382221579551697,0.09944143891334534,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.25725015699936193,-114.18788025460672,-41.50169483187244,-3.650280661815259,3.964507767077862,5.389051005997544,,,0.18078944087028503,0.09820054471492767,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.28446839100070065,-113.84818351764048,-41.90767048295114,7.869472032938575,-9.175689271294686,12.088087676740056,,,-0.4796590507030487,0.4883383810520172,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.2999967760006257,-113.76683302852385,-41.99930352866593,2.582986180719672,-3.019503859364704,3.973565296620548,,,-0.4796590507030487,0.4883383810520172,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.3101057359999686,-113.75819958851514,-42.01086465500812,4.601152577229186,4.507338258190316,6.441017249836309,,,-0.4796590507030487,0.4883383810520172,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.32677286099897174,-113.57854133759245,-41.7804517400762,5.149778298979982,6.654197221922914,8.414187851295678,,,-0.4796590507030487,0.4883383810520172,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.3368861550006841,-113.56100535845707,-41.75715619268295,1.7197628782291758,2.1103446158979295,2.722340675812724,,,-1.0849589109420776,0.4697315990924835,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.36049650099994324,-113.52118334103531,-41.717974702819845,6.063507432474353,-48.3144726942071,48.693473834826726,,,-1.0849589109420776,0.4697315990924835,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.39296251099949586,-113.12892774632921,-45.51755200338523,1.683739200936543,-26.807532857555998,26.860357324609716,,,-1.0849589109420776,0.4697315990924835,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.4168746720006311,-113.27180078143388,-44.56953626407297,-2.906324127825428,18.534220754005105,18.760705181153874,,,-1.6716886758804321,0.40058648586273193,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.441801516999476,-113.26451031189362,-44.65611115944457,-0.5513813417182973,4.965458309719338,4.9959781434225565,,,-1.6716886758804321,0.40058648586273193,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.46486549300061597,-113.29523551894518,-44.36150510755381,-0.693107637589037,6.3610886123567525,6.398737885828658,,,-1.6716886758804321,0.40058648586273193,-3.0,0.0,
open_loop_rep0,0,1,-1,,,-114.03374910260045,-43.1855851642822,,,0.48209600699919974,-113.29895176198293,-44.334443012006936,0.19278143175415607,-82.39508194599432,82.39530747298384,,,-2.1092169284820557,0.30988723039627075,-3.0,0.0,
