t_s,roll,pitch,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual,mt_0,enc_0,vel_0,iq_sp_0,iq_0,mt_1,enc_1,vel_1,iq_sp_1,iq_1,mt_2,enc_2,vel_2,iq_sp_2,iq_2,mt_3,enc_3,vel_3,iq_sp_3,iq_3,mt_4,enc_4,vel_4,iq_sp_4,iq_4,mt_5,enc_5,vel_5,iq_sp_5,iq_5
0.0000,0.00353,-0.17884,0.00353,-0.17884,0.01908,-0.17237,-1.31313,2.75187,-1.33221,2.92424,-1.33221,2.92424,0.00000,0.00000,16,0.00030,-0.14433,-0.14600,0.00205,1.03285,1.12806,-0.16045,-0.17073,-0.00131,-0.07817,-0.08989,-0.09424,-0.10105,0.02129,-0.69782,-0.70968,-0.15497,-0.14764,0.00315,1.22680,1.28467,0.04721,0.04502,-0.02429,3.76053,3.86553,-0.15294,-0.00141,0.00506,5.98925,5.80918
0.1009,-0.01139,-0.19509,-0.01139,-0.19509,-0.00439,-0.18790,-1.31313,2.75732,-1.30875,2.94522,-1.30875,2.94522,0.00000,0.00000,16,0.00030,-0.14568,-0.14602,-0.00236,1.09538,1.14782,-0.15944,-0.17031,0.01089,-0.26294,-0.32088,-0.09311,-0.09914,0.02073,-0.76816,-0.80409,-0.15457,-0.14782,0.00063,1.28141,1.17282,0.04740,0.04345,0.00303,3.66701,3.74303,-0.15433,-0.00140,0.00586,5.99295,5.96408
0.2038,-0.01205,-0.20618,-0.01205,-0.20618,-0.01002,-0.20098,-1.31313,2.76320,-1.30311,2.96418,-1.30311,2.96418,0.00000,0.00000,16,0.00179,-0.14659,-0.14603,-0.00081,1.14798,1.10586,-0.15925,-0.17006,-0.00101,-0.41163,-0.41064,-0.09278,-0.09774,0.02117,-0.75165,-0.69102,-0.15391,-0.14799,-0.01544,1.25855,1.18707,0.04798,0.04316,-0.00048,3.58131,3.49679,-0.15519,-0.00140,0.00531,5.99400,5.78055
0.3044,-0.01171,-0.21629,-0.01171,-0.21629,-0.01233,-0.21121,-1.31313,2.76942,-1.30081,2.98063,-1.30081,2.98063,0.00000,0.00000,16,0.00029,-0.14733,-0.14606,-0.01031,1.19376,1.07608,-0.15921,-0.16980,0.00445,-0.51126,-0.42867,-0.09261,-0.09625,0.02239,-0.69687,-0.74040,-0.15328,-0.14807,0.00012,1.31747,1.28590,0.04855,0.04310,0.00754,3.47306,3.43881,-0.15587,-0.00142,-0.00170,5.99041,6.07053
0.4048,-0.01112,-0.35650,-0.01112,-0.35650,-0.01016,-0.27633,-1.31313,2.77648,-1.30297,3.05281,-1.30297,3.05281,0.00000,0.00000,16,0.00027,-0.15031,-0.14606,-0.00147,1.32126,1.35375,-0.15962,-0.16964,-0.00524,-0.62826,-0.44770,-0.09244,-0.07625,-0.01010,0.96993,1.10025,-0.15030,-0.14812,0.00617,1.31662,1.42541,0.05136,0.04310,0.00483,3.31655,3.48658,-0.15854,-0.00141,-0.00126,5.95051,6.10622
0.5096,-0.01003,-0.36320,-0.01003,-0.36320,-0.02486,-0.34976,-1.31243,2.78641,-1.28757,3.13617,-1.28757,3.13617,0.00000,0.00000,0,0.00042,-0.15411,-0.14622,-0.00464,1.83514,1.80219,-0.15924,-0.16919,0.01012,-0.74091,-0.74647,-0.09142,-0.07589,0.00316,0.71005,0.59229,-0.14720,-0.14807,0.00560,0.99281,0.92265,0.05414,0.04310,-0.00656,2.91013,2.90093,-0.16207,-0.00142,-0.00534,5.97420,5.88847
0.6107,-0.03764,-0.37495,-0.03764,-0.37495,-0.03617,-0.36768,-1.31149,2.79729,-1.27531,3.16497,-1.27531,3.16497,0.00000,0.00000,0,0.00039,-0.15557,-0.14626,-0.00144,1.96148,1.94178,-0.15879,-0.16892,-0.00660,-0.87683,-0.84028,-0.09076,-0.07600,-0.00155,0.85153,0.89489,-0.14627,-0.14803,0.00910,0.94533,0.91036,0.05492,0.04315,0.00111,2.75801,2.72650,-0.16347,-0.00144,-0.00689,5.97859,6.04848
0.7113,-0.04134,-0.36797,-0.04134,-0.36797,-0.03812,-0.37014,-1.31044,2.80840,-1.27233,3.17854,-1.27233,3.17854,0.00000,0.00000,0,0.00035,-0.15620,-0.14630,0.00349,2.10157,2.14778,-0.15871,-0.16849,-0.00306,-0.93687,-0.84012,-0.09058,-0.07607,0.00086,1.06885,0.98830,-0.14577,-0.14804,0.00204,0.84953,0.76187,0.05536,0.04317,-0.00030,2.53043,2.50825,-0.16406,-0.00141,-0.00158,5.99236,5.96780
0.8148,-0.04031,-0.37212,-0.04031,-0.37212,-0.03720,-0.37210,-1.30933,2.81955,-1.27213,3.19165,-1.27213,3.19165,0.00000,0.00000,0,0.00037,-0.15675,-0.14640,-0.00489,2.23448,2.22999,-0.15875,-0.16799,0.01091,-1.01484,-1.16131,-0.09052,-0.07619,0.00222,1.18860,1.12494,-0.14524,-0.14803,-0.00268,0.78032,0.76831,0.05586,0.04324,0.00488,2.41566,2.36709,-0.16456,-0.00141,0.00107,5.97190,5.84475
0.9168,-0.03574,-0.37106,-0.03574,-0.37106,-0.03631,-0.37219,-1.30823,2.83072,-1.27193,3.20291,-1.27193,3.20291,0.00000,0.00000,0,0.00028,-0.15723,-0.14646,-0.00497,2.41241,2.47449,-0.15879,-0.16757,0.00077,-1.13588,-1.13034,-0.09047,-0.07631,-0.00035,1.39002,1.25761,-0.14479,-0.14800,0.00199,0.73314,0.67214,0.05628,0.04329,0.00473,2.23382,2.07981,-0.16499,-0.00140,0.00431,5.97911,5.91025
