t_s,roll,pitch,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual,mt_0,enc_0,vel_0,iq_sp_0,iq_0,mt_1,enc_1,vel_1,iq_sp_1,iq_1,mt_2,enc_2,vel_2,iq_sp_2,iq_2,mt_3,enc_3,vel_3,iq_sp_3,iq_3,mt_4,enc_4,vel_4,iq_sp_4,iq_4,mt_5,enc_5,vel_5,iq_sp_5,iq_5
0.0000,-0.00530,-0.11723,-0.00530,-0.11723,-0.00609,-0.12311,-1.99955,1.58550,-1.99346,1.70861,-1.99346,1.70861,0.00000,0.00000,16,0.00277,-0.14610,-0.14620,-0.00264,1.92253,1.98237,-0.25209,-0.24574,-0.00470,2.17961,2.16884,-0.19491,-0.19476,-0.01107,3.22367,3.16586,-0.25759,-0.26466,-0.00208,1.50009,1.56914,-0.04796,-0.06700,0.00827,-0.35300,-0.31652,-0.15593,-0.17389,0.00035,4.51883,4.52316
0.0983,-0.00789,-0.11090,-0.00789,-0.11090,-0.00685,-0.11403,-1.99955,1.58902,-1.99270,1.70305,-1.99270,1.70305,0.00000,0.00000,16,0.00031,-0.14588,-0.14622,0.00054,1.90214,1.96487,-0.25203,-0.24625,-0.01113,2.21586,2.22435,-0.19490,-0.19569,-0.00806,3.15704,3.08488,-0.25783,-0.26454,0.00314,1.44285,1.40855,-0.04819,-0.06693,0.00256,-0.62804,-0.55232,-0.15574,-0.17390,-0.00621,4.26157,4.31488
0.2020,-0.00495,-0.10319,-0.00495,-0.10319,-0.00612,-0.10692,-1.99955,1.59232,-1.99343,1.69924,-1.99343,1.69924,0.00000,0.00000,16,0.00314,-0.14571,-0.14622,-0.00308,1.87852,1.96874,-0.25205,-0.24676,-0.01394,2.27028,2.28338,-0.19495,-0.19665,-0.00987,3.08010,3.13629,-0.25797,-0.26443,-0.00256,1.38456,1.27393,-0.04832,-0.06674,0.00124,-0.83644,-0.89590,-0.15557,-0.17387,0.00273,4.07892,4.06055
0.3003,-0.00552,-0.09015,-0.00552,-0.09015,-0.00586,-0.09621,-1.99955,1.59535,-1.99370,1.69156,-1.99370,1.69156,0.00000,0.00000,16,0.00027,-0.14539,-0.14622,-0.00440,1.84502,1.80888,-0.25202,-0.24708,0.00181,2.34880,2.26220,-0.19499,-0.19808,-0.02431,2.90617,2.83854,-0.25828,-0.26429,0.00579,1.34024,1.31331,-0.04860,-0.06641,-0.00573,-1.02085,-0.98595,-0.15528,-0.17386,-0.00677,3.81315,3.76957
0.4014,-0.00430,-0.06592,-0.00430,-0.06592,-0.00484,-0.07673,-1.99955,1.59790,-1.99471,1.67463,-1.99471,1.67463,0.00000,0.00000,16,0.00029,-0.14466,-0.14620,0.00348,1.78182,1.75868,-0.25200,-0.24743,-0.01073,2.34960,2.35408,-0.19511,-0.20101,-0.03007,2.67849,2.76676,-0.25896,-0.26419,-0.00177,1.32470,1.20565,-0.04922,-0.06603,0.00201,-1.16432,-1.16083,-0.15461,-0.17380,0.00293,3.55727,3.44652
0.5045,-0.00800,-0.05251,-0.00800,-0.05251,-0.00553,-0.05794,-1.99955,1.59983,-1.99402,1.65777,-1.99402,1.65777,0.00000,0.00000,16,0.00031,-0.14397,-0.14617,0.00326,1.72302,1.62956,-0.25189,-0.24770,-0.01169,2.36339,2.43363,-0.19515,-0.20309,-0.01004,2.47836,2.46448,-0.25967,-0.26413,0.00088,1.31965,1.44321,-0.04988,-0.06553,-0.00249,-1.24968,-1.25502,-0.15399,-0.17376,-0.00171,3.27386,3.10434
0.6053,-0.00882,-0.04689,-0.00882,-0.04689,-0.00827,-0.04948,-1.99955,1.60139,-1.99128,1.65087,-1.99128,1.65087,0.00000,0.00000,16,0.00029,-0.14374,-0.14618,-0.00038,1.67306,1.70519,-0.25174,-0.24789,-0.00394,2.40736,2.35422,-0.19505,-0.20376,0.00286,2.35984,2.23303,-0.26000,-0.26409,-0.00211,1.26766,1.34674,-0.05022,-0.06509,-0.00052,-1.39843,-1.40104,-0.15380,-0.17374,-0.00407,3.00631,2.96150
0.7066,-0.01353,-0.04018,-0.01353,-0.04018,-0.01078,-0.04307,-1.99955,1.60276,-1.98877,1.64584,-1.98877,1.64584,0.00000,0.00000,16,0.00026,-0.14358,-0.14616,0.00099,1.61900,1.62701,-0.25160,-0.24810,0.00273,2.44070,2.31790,-0.19495,-0.20399,0.00532,2.24778,2.31723,-0.26026,-0.26399,0.00614,1.25488,1.35240,-0.05047,-0.06464,-0.00347,-1.55664,-1.52594,-0.15367,-0.17368,-0.00575,2.75491,2.80633
0.8072,-0.01578,-0.04041,-0.01578,-0.04041,-0.01480,-0.04121,-1.99955,1.60402,-1.98475,1.64523,-1.98475,1.64523,0.00000,0.00000,16,0.00024,-0.14364,-0.14615,0.00011,1.59929,1.53513,-0.25141,-0.24823,-0.00268,2.46366,2.36566,-0.19477,-0.20404,0.00010,2.11478,2.10036,-0.26036,-0.26395,-0.00738,1.19619,1.28185,-0.05060,-0.06394,0.01136,-1.61541,-1.53912,-0.15375,-0.17362,0.00005,2.51185,2.50318
0.9091,-0.01835,-0.03685,-0.01835,-0.03685,-0.01715,-0.03782,-1.99955,1.60519,-1.98240,1.64301,-1.98240,1.64301,0.00000,0.00000,16,0.00031,-0.14359,-0.14614,-0.00233,1.56368,1.56563,-0.25129,-0.24836,-0.00618,2.47303,2.43638,-0.19468,-0.20405,-0.00234,1.98228,2.00732,-0.26050,-0.26385,0.00401,1.19388,1.08930,-0.05074,-0.06305,0.00605,-1.72512,-1.80250,-0.15373,-0.17358,-0.01220,2.28881,2.09177
1.0103,-0.01763,-0.03666,-0.01763,-0.03666,-0.01750,-0.03685,-1.99955,1.60632,-1.98205,1.64316,-1.98205,1.64316,0.00000,0.00000,16,0.00029,-0.14361,-0.14613,0.00167,1.55397,1.54634,-0.25127,-0.24846,-0.00895,2.54111,2.56670,-0.19466,-0.20402,-0.00219,1.88702,1.81068,-0.26050,-0.26378,0.00014,1.14660,1.26256,-0.05075,-0.06119,0.03793,-1.66676,-1.69912,-0.15374,-0.17350,0.00213,2.07945,2.08394
1.1111,-0.00464,-0.02882,-0.00464,-0.02882,-0.01187,-0.03207,-1.99955,1.60735,-1.98768,1.63942,-1.98768,1.63942,0.00000,0.00000,16,0.00043,-0.14334,-0.14611,0.00450,1.52483,1.58299,-0.25152,-0.24855,-0.00465,2.54621,2.60887,-0.19493,-0.20398,-0.00359,1.76543,1.72125,-0.26054,-0.26368,0.00090,1.10838,1.19135,-0.05075,-0.05437,0.05403,-1.22442,-1.27016,-0.15346,-0.17342,0.00134,1.81064,1.70329
1.2144,0.02335,-0.01870,0.02335,-0.01870,0.00991,-0.02491,-1.99955,1.60821,-2.00946,1.63312,-2.00946,1.63312,0.00000,0.00000,16,0.00027,-0.14263,-0.14610,-0.00925,1.39942,1.53991,-0.25250,-0.24872,-0.00798,2.65067,2.55930,-0.19595,-0.20396,0.00231,1.73428,1.79886,-0.26037,-0.26357,-0.00544,1.05858,0.92831,-0.05043,-0.04637,0.17997,-0.37899,-0.69773,-0.15266,-0.17332,0.00409,1.51183,1.40857
1.3180,0.07642,-0.00553,0.07642,-0.00553,0.05885,-0.01107,-2.00064,1.60833,-2.05950,1.61940,-2.05950,1.61940,0.00000,0.00000,32,0.00204,-0.14105,-0.14602,-0.00603,1.24830,1.23884,-0.25477,-0.24916,-0.01160,2.83875,2.81190,-0.19828,-0.20399,-0.00012,1.84317,1.85808,-0.25995,-0.26337,0.00884,1.01807,1.07217,-0.04967,-0.04072,0.00254,-0.44742,-0.48602,-0.15085,-0.17316,0.00455,1.11147,0.98254
1.4165,0.07749,-0.00403,0.07749,-0.00403,0.07255,-0.00464,-2.00268,1.60833,-2.07523,1.61297,-2.07523,1.61297,0.00000,0.00000,32,0.00028,-0.14046,-0.14595,0.00192,1.19522,1.41097,-0.25547,-0.24963,-0.00331,2.89789,2.87082,-0.19903,-0.20398,-0.00035,1.80364,1.84565,-0.25991,-0.26321,0.00792,1.01255,1.10204,-0.04951,-0.04046,0.00055,-0.38121,-0.34396,-0.15020,-0.17302,-0.00467,0.80839,0.82163
1.5171,0.07989,0.00129,0.07989,0.00129,0.07696,0.00052,-2.00492,1.60833,-2.08188,1.60781,-2.08188,1.60781,0.00000,0.00000,32,0.00029,-0.14011,-0.14593,-0.01471,1.07368,1.03379,-0.25576,-0.24995,-0.00666,2.96870,2.92581,-0.19935,-0.20399,-0.00582,1.73656,1.83172,-0.25999,-0.26309,-0.00263,0.95809,0.93234,-0.04954,-0.04045,0.00459,-0.21654,-0.24939,-0.14983,-0.17280,0.01234,0.53424,0.68027
1.6210,0.07825,0.00652,0.07825,0.00652,0.07897,0.00390,-2.00728,1.60833,-2.08625,1.60443,-2.08625,1.60443,0.00000,0.00000,32,0.00167,-0.13988,-0.14585,-0.00675,0.99528,1.00050,-0.25595,-0.25031,-0.00876,3.02851,3.21405,-0.19956,-0.20397,-0.00213,1.71652,1.73288,-0.26004,-0.26292,0.00532,0.94415,1.00576,-0.04956,-0.04045,0.00482,-0.13694,-0.03043,-0.14959,-0.17255,0.00426,0.27115,0.24936
1.7208,0.07497,0.00518,0.07497,0.00518,0.07711,0.00509,-2.00962,1.60833,-2.08672,1.60324,-2.08672,1.60324,0.00000,0.00000,32,0.00036,-0.13982,-0.14580,-0.00109,0.93548,1.02515,-0.25597,-0.25053,0.00306,3.09622,3.13291,-0.19959,-0.20394,0.00395,1.66793,1.74267,-0.26008,-0.26281,0.00626,0.91730,0.94381,-0.04959,-0.04046,-0.00057,-0.01072,0.05251,-0.14954,-0.17224,0.01104,0.03676,0.08866
1.8219,0.07719,0.00560,0.07719,0.00560,0.07649,0.00458,-2.01191,1.60833,-2.08840,1.60375,-2.08840,1.60375,0.00000,0.00000,32,0.00033,-0.13981,-0.14573,0.00078,0.84309,0.94090,-0.25605,-0.25074,-0.00458,3.11374,3.09538,-0.19966,-0.20392,0.00081,1.61102,1.60979,-0.26003,-0.26270,0.00045,0.89849,0.99850,-0.04953,-0.04045,0.00881,0.09768,0.10130,-0.14951,-0.17185,0.00589,-0.26939,-0.23683
1.9259,0.07640,0.00670,0.07640,0.00670,0.07670,0.00568,-2.01421,1.60833,-2.09091,1.60265,-2.09091,1.60265,0.00000,0.00000,32,0.00029,-0.13971,-0.14567,0.00254,0.80094,0.81764,-0.25616,-0.25096,0.00076,3.19398,3.22425,-0.19978,-0.20391,0.00172,1.54874,1.46763,-0.26002,-0.26251,0.00208,0.88151,0.93403,-0.04950,-0.04046,0.00052,0.21428,0.23644,-0.14941,-0.17142,0.00889,-0.50708,-0.51118
2.0275,0.07966,0.01292,0.07966,0.01292,0.07834,0.00951,-2.01654,1.60833,-2.09488,1.59882,-2.09488,1.59882,0.00000,0.00000,32,0.00030,-0.13947,-0.14559,0.01307,0.73382,0.76722,-0.25632,-0.25118,-0.00183,3.25672,3.48211,-0.19998,-0.20391,-0.00011,1.53773,1.43898,-0.26010,-0.26239,-0.00256,0.85243,0.76972,-0.04955,-0.04049,-0.01034,0.27635,0.25717,-0.14916,-0.17082,0.00076,-0.77825,-0.73659
2.1288,0.07906,0.01303,0.07906,0.01303,0.07941,0.01227,-2.01890,1.60833,-2.09832,1.59607,-2.09832,1.59607,0.00000,0.00000,32,0.00043,-0.13929,-0.14551,0.00060,0.61900,0.58321,-0.25647,-0.25140,-0.00569,3.31506,3.19113,-0.20015,-0.20387,0.00489,1.51104,1.47658,-0.26015,-0.26228,-0.00532,0.81956,0.93461,-0.04957,-0.04048,0.00204,0.43494,0.43428,-0.14897,-0.17001,-0.00193,-0.96609,-0.97535
