t_s,roll,pitch,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual
0.0000,-0.23943,-0.05198,-0.23943,-0.05198,-0.23990,-0.05009,-0.36487,1.39573,-0.00501,1.47086,-0.00501,1.47086,0.00000,0.00000,0,0.00091
0.1018,-0.23653,-0.05475,-0.23653,-0.05475,-0.23647,-0.05349,-0.35300,1.39834,0.00171,1.47858,0.00171,1.47858,0.00000,0.00000,0,0.00029
0.2025,-0.23271,-0.06286,-0.23271,-0.06286,-0.23556,-0.05962,-0.34117,1.40121,0.01217,1.49064,0.01217,1.49064,0.00000,0.00000,0,0.00029
0.3045,-0.22883,-0.06793,-0.22883,-0.06793,-0.23107,-0.06461,-0.32953,1.40433,0.01708,1.50124,0.01708,1.50124,0.00000,0.00000,0,0.00074
0.4069,-0.20808,-0.09224,-0.20808,-0.09224,-0.21594,-0.08311,-0.31840,1.40807,0.00551,1.53274,0.00551,1.53274,0.00000,0.00000,0,0.00099
0.5083,-0.19265,-0.10989,-0.19265,-0.10989,-0.19898,-0.10192,-0.30811,1.41279,-0.00964,1.56567,-0.00964,1.56567,0.00000,0.00000,0,0.00031
0.8835,-0.17627,-0.13484,-0.17627,-0.13484,-0.18254,-0.12901,-0.28725,1.42579,-0.01344,1.61931,-0.01344,1.61931,0.00000,0.00000,0,0.00032
0.8836,-0.16689,-0.16328,-0.16689,-0.16328,-0.17150,-0.14929,-0.27846,1.43277,-0.02121,1.65670,-0.02121,1.65670,0.00000,0.00000,0,0.00034
0.9380,-0.18685,-0.30640,-0.18685,-0.30640,-0.17710,-0.25490,-0.26990,1.44309,-0.00425,1.82545,-0.00425,1.82545,0.00000,0.00000,0,0.00029
1.0386,-0.14503,-0.32954,-0.14503,-0.32954,-0.15460,-0.31346,-0.26163,1.45783,-0.02973,1.92802,-0.02973,1.92802,0.00000,0.00000,0,0.00029
1.1408,-0.12534,-0.34719,-0.12534,-0.34719,-0.13348,-0.33895,-0.25454,1.47434,-0.05432,1.98277,-0.05432,1.98277,0.00000,0.00000,0,0.00027
1.2465,-0.11854,-0.35920,-0.11854,-0.35920,-0.12145,-0.35352,-0.24825,1.49175,-0.06607,2.02203,-0.06607,2.02203,0.00000,0.00000,0,0.00028
1.3478,-0.10615,-0.37299,-0.10615,-0.37299,-0.11127,-0.36690,-0.24246,1.50983,-0.07556,2.06018,-0.07556,2.06018,0.00000,0.00000,0,0.00028
1.4515,-0.09330,-0.38099,-0.09330,-0.38099,-0.09874,-0.37721,-0.23728,1.52849,-0.08916,2.09430,-0.08916,2.09430,0.00000,0.00000,0,0.00037
1.5524,-0.08079,-0.38894,-0.08079,-0.38894,-0.08619,-0.38598,-0.23272,1.54763,-0.10343,2.12659,-0.10343,2.12659,0.00000,0.00000,0,0.00027
1.6558,-0.05683,-0.40391,-0.05683,-0.40391,-0.06641,-0.39793,-0.22899,1.56727,-0.12938,2.16416,-0.12938,2.16416,0.00000,0.00000,0,0.00037
1.7572,-0.02864,-0.42699,-0.02864,-0.42699,-0.04227,-0.41567,-0.22634,1.58766,-0.16295,2.21117,-0.16295,2.21117,0.00000,0.00000,0,0.00037
1.8588,-0.00445,-0.44902,-0.00445,-0.44902,-0.01594,-0.43831,-0.22519,1.60912,-0.20129,2.26659,-0.20129,2.26659,0.00000,0.00000,16,0.00034
1.9600,0.02483,-0.47201,0.02483,-0.47201,0.01135,-0.46180,-0.22519,1.63172,-0.24222,2.32442,-0.24222,2.32442,0.00000,0.00000,16,0.00047
2.0610,0.07311,-0.49482,0.07311,-0.49482,0.05096,-0.48445,-0.22671,1.65550,-0.30314,2.38217,-0.30314,2.38217,0.00000,0.00000,0,0.00033
2.1620,0.15235,-0.48294,0.15235,-0.48294,0.11002,-0.49093,-0.23084,1.68009,-0.39587,2.41649,-0.39587,2.41649,0.00000,0.00000,0,0.00026
2.2646,0.27618,-0.39041,0.27618,-0.39041,0.21433,-0.43683,-0.23927,1.70349,-0.56077,2.35873,-0.56077,2.35873,0.00000,0.00000,0,0.00033
2.3664,0.33795,-0.25901,0.33795,-0.25901,0.30532,-0.31013,-0.25289,1.72166,-0.71087,2.18686,-0.71087,2.18686,0.00000,0.00000,0,0.00027
2.4695,0.33651,-0.17431,0.33651,-0.17431,0.32960,-0.21246,-0.26904,1.73417,-0.76344,2.05286,-0.76344,2.05286,0.00000,0.00000,0,0.00027
2.5720,0.34876,-0.08010,0.34876,-0.08010,0.34287,-0.12790,-0.28594,1.74237,-0.80024,1.93422,-0.80024,1.93422,0.00000,0.00000,0,0.00038
2.6739,0.36098,-0.00047,0.36098,-0.00047,0.35694,-0.03855,-0.30355,1.74599,-0.83896,1.80382,-0.83896,1.80382,0.00000,0.00000,0,0.00029
2.7743,0.36464,0.01956,0.36464,0.01956,0.36421,0.00641,-0.32165,1.74625,-0.86797,1.73663,-0.86797,1.73663,0.00000,0.00000,32,0.00027
2.8758,0.37046,0.03476,0.37046,0.03476,0.36769,0.02666,-0.33996,1.74575,-0.89150,1.70576,-0.89150,1.70576,0.00000,0.00000,0,0.00027
2.9764,0.36405,0.04062,0.36405,0.04062,0.36622,0.03625,-0.35833,1.74411,-0.90767,1.68974,-0.90767,1.68974,0.00000,0.00000,0,0.00031
3.0782,0.36803,0.05153,0.36803,0.05153,0.36711,0.04642,-0.37667,1.74199,-0.92732,1.67237,-0.92732,1.67237,0.00000,0.00000,0,0.00031
3.1803,0.35167,0.07565,0.35167,0.07565,0.35748,0.06386,-0.39480,1.73924,-0.93102,1.64346,-0.93102,1.64346,0.00000,0.00000,0,0.00039
3.2813,0.33788,0.08890,0.33788,0.08890,0.34354,0.08093,-0.41223,1.73553,-0.92754,1.61414,-0.92754,1.61414,0.00000,0.00000,0,0.00026
3.3822,0.33100,0.10436,0.33100,0.10436,0.33490,0.09618,-0.42914,1.73104,-0.93149,1.58677,-0.93149,1.58677,0.00000,0.00000,0,0.00026
