t_s,roll,pitch,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual
0.0000,-0.14232,-0.17601,-0.14232,-0.17601,-0.14600,-0.17133,-0.16841,1.66379,0.05060,1.92078,0.05060,1.92078,0.00000,0.00000,0,0.00030
0.1024,-0.13835,-0.18240,-0.13835,-0.18240,-0.13991,-0.17919,-0.16130,1.67260,0.04857,1.94139,0.04857,1.94139,0.00000,0.00000,0,0.00041
0.2063,-0.13114,-0.19525,-0.13114,-0.19525,-0.13402,-0.18967,-0.15447,1.68185,0.04656,1.96636,0.04656,1.96636,0.00000,0.00000,0,0.00153
0.3076,-0.12659,-0.20661,-0.12659,-0.20661,-0.12889,-0.20189,-0.14793,1.69172,0.04540,1.99456,0.04540,1.99456,0.00000,0.00000,0,0.00029
0.4084,-0.12032,-0.22025,-0.12032,-0.22025,-0.12385,-0.21422,-0.14162,1.70218,0.04416,2.02351,0.04416,2.02351,0.00000,0.00000,0,0.00029
0.5103,-0.11077,-0.23095,-0.11077,-0.23095,-0.11636,-0.22619,-0.13563,1.71327,0.03892,2.05255,0.03892,2.05255,0.00000,0.00000,0,0.00082
0.6118,-0.10939,-0.23797,-0.10939,-0.23797,-0.11080,-0.23429,-0.13000,1.72482,0.03620,2.07626,0.03620,2.07626,0.00000,0.00000,0,0.00029
0.7126,-0.10148,-0.24486,-0.10148,-0.24486,-0.10445,-0.24150,-0.12464,1.73676,0.03203,2.09901,0.03203,2.09901,0.00000,0.00000,0,0.00029
0.8145,-0.09504,-0.25894,-0.09504,-0.25894,-0.09840,-0.25351,-0.11960,1.74919,0.02800,2.12946,0.02800,2.12946,0.00000,0.00000,0,0.00026
0.9163,-0.08578,-0.26936,-0.08578,-0.26936,-0.09022,-0.26434,-0.11490,1.76220,0.02043,2.15871,0.02043,2.15871,0.00000,0.00000,0,0.00030
1.0178,-0.06974,-0.28167,-0.06974,-0.28167,-0.07617,-0.27603,-0.11080,1.77576,0.00346,2.18980,0.00346,2.18980,0.00000,0.00000,0,0.00036
1.1182,-0.04796,-0.29257,-0.04796,-0.29257,-0.05775,-0.28787,-0.10752,1.78993,-0.02090,2.22174,-0.02090,2.22174,0.00000,0.00000,0,0.00028
1.2187,-0.03130,-0.31032,-0.03130,-0.31032,-0.03919,-0.30223,-0.10521,1.80473,-0.04642,2.25807,-0.04642,2.25807,0.00000,0.00000,0,0.00025
1.3222,-0.00543,-0.32864,-0.00543,-0.32864,-0.01711,-0.31919,-0.10404,1.82032,-0.07838,2.29910,-0.07838,2.29910,0.00000,0.00000,16,0.00154
1.4261,0.05504,-0.37403,0.05504,-0.37403,0.02448,-0.35241,-0.10429,1.83717,-0.14100,2.36578,-0.14100,2.36578,0.00000,0.00000,0,0.00035
1.5277,0.19039,-0.37235,0.19039,-0.37235,0.11545,-0.38034,-0.10782,1.85595,-0.28101,2.42647,-0.28101,2.42647,0.00000,0.00000,0,0.00027
1.6283,0.35126,-0.31847,0.35126,-0.31847,0.28570,-0.34994,-0.11882,1.87455,-0.54738,2.39946,-0.54738,2.39946,0.00000,0.00000,0,0.00028
1.7296,0.40474,-0.30944,0.40474,-0.30944,0.37654,-0.32262,-0.13609,1.89121,-0.70089,2.37514,-0.70089,2.37514,0.00000,0.00000,0,0.00035
1.8319,0.49890,-0.26015,0.49890,-0.26015,0.45592,-0.28436,-0.15706,1.90639,-0.84094,2.33294,-0.84094,2.33294,0.00000,0.00000,0,0.00033
1.9334,0.54042,-0.21067,0.54042,-0.21067,0.51196,-0.23721,-0.18156,1.91919,-0.94949,2.27500,-0.94949,2.27500,0.00000,0.00000,0,0.00033
2.0349,0.68278,-0.03818,0.68278,-0.03818,0.64461,-0.10833,-0.21147,1.92722,-1.17838,2.08971,-1.17838,2.08971,0.00000,0.00000,0,0.00026
2.1364,0.68995,0.02327,0.68995,0.02327,0.67742,-0.01304,-0.24489,1.92929,-1.26102,1.94885,-1.26102,1.94885,0.00000,0.00000,32,0.00040
2.2399,0.70550,0.16848,0.70550,0.16848,0.69470,0.08740,-0.27925,1.92760,-1.32130,1.79651,-1.32130,1.79651,0.00000,0.00000,0,0.00102
2.3397,0.72790,0.39676,0.72790,0.39676,0.72061,0.30990,-0.31483,1.91643,-1.39574,1.45159,-1.39574,1.45159,0.00000,0.00000,0,0.00039
2.4409,0.63955,0.49629,0.63955,0.49629,0.66807,0.45363,-0.34932,1.89617,-1.35142,1.21572,-1.35142,1.21572,0.00000,0.00000,0,0.00028
2.5420,0.52967,0.55959,0.52967,0.55959,0.58144,0.53213,-0.38032,1.87102,-1.25248,1.07283,-1.25248,1.07283,0.00000,0.00000,0,0.00031
2.6441,0.40193,0.62730,0.40193,0.62730,0.46273,0.58981,-0.40606,1.84294,-1.10016,0.95823,-1.10016,0.95823,0.00000,0.00000,0,0.00029
2.7454,0.21203,0.64433,0.21203,0.64433,0.30467,0.64253,-0.42470,1.81157,-0.88170,0.84777,-0.88170,0.84777,0.00000,0.00000,0,0.00025
2.8480,-0.02555,0.58147,-0.02555,0.58147,0.07581,0.61447,-0.43296,1.77999,-0.54668,0.85829,-0.54668,0.85829,0.00000,0.00000,0,0.00027
2.9498,-0.16946,0.52345,-0.16946,0.52345,-0.08857,0.54822,-0.43168,1.75141,-0.29883,0.92909,-0.29883,0.92909,0.00000,0.00000,0,0.00073
3.0528,-0.25380,0.40496,-0.25380,0.40496,-0.21738,0.46575,-0.42290,1.72611,-0.09684,1.02749,-0.09684,1.02749,0.00000,0.00000,0,0.00038
3.1534,-0.26149,0.35548,-0.26149,0.35548,-0.24722,0.37523,-0.41113,1.70610,-0.04030,1.14325,-0.04030,1.14325,0.00000,0.00000,0,0.00032
3.2546,-0.26736,0.32474,-0.26736,0.32474,-0.25931,0.34227,-0.39836,1.68825,-0.00940,1.17485,-0.00940,1.17485,0.00000,0.00000,0,0.00035
3.3576,-0.28996,0.15151,-0.28996,0.15151,-0.27971,0.24157,-0.38480,1.67347,0.03477,1.31112,0.03477,1.31112,0.00000,0.00000,0,0.00032
3.4593,-0.30917,-0.09773,-0.30917,-0.09773,-0.28830,0.01254,-0.37065,1.66857,0.06181,1.64975,0.06181,1.64975,0.00000,0.00000,32,0.00025
3.5604,-0.29915,-0.14192,-0.29915,-0.14192,-0.31114,-0.10033,-0.35504,1.67143,0.11167,1.82193,0.11167,1.82193,0.00000,0.00000,0,0.00036
3.6605,-0.31699,-0.14744,-0.31699,-0.14744,-0.31972,-0.13424,-0.33920,1.67758,0.14038,1.87893,0.14038,1.87893,0.00000,0.00000,0,0.00026
3.7618,-0.30323,-0.16924,-0.30323,-0.16924,-0.30986,-0.15872,-0.32348,1.68506,0.14131,1.92314,0.14131,1.92314,0.00000,0.00000,0,0.00025
3.8629,-0.27400,-0.18890,-0.27400,-0.18890,-0.28674,-0.17801,-0.30864,1.69354,0.12147,1.96056,0.12147,1.96056,0.00000,0.00000,0,0.00045
3.9639,-0.23846,-0.21903,-0.23846,-0.21903,-0.25279,-0.20939,-0.29535,1.70345,0.08384,2.01753,0.08384,2.01753,0.00000,0.00000,0,0.00027
4.0651,-0.20745,-0.23970,-0.20745,-0.23970,-0.22216,-0.22933,-0.28362,1.71449,0.04963,2.05849,0.04963,2.05849,0.00000,0.00000,0,0.00032
4.1677,-0.19125,-0.25184,-0.19125,-0.25184,-0.20073,-0.24581,-0.27318,1.72648,0.02793,2.09520,0.02793,2.09520,0.00000,0.00000,0,0.00029
