t_s,roll,pitch,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual
0.0000,-0.18345,-0.62898,-0.18345,-0.62898,-0.23763,-0.58785,-0.27008,1.61500,0.08636,2.49677,0.08636,2.49677,0.00000,0.00000,0,0.00028
0.1021,-0.02326,-0.62131,-0.02326,-0.62131,-0.08571,-0.62370,-0.26279,1.64595,-0.13423,2.58150,-0.13423,2.58150,0.00000,0.00000,0,0.00026
0.2036,0.03605,-0.63329,0.03605,-0.63329,0.00488,-0.63466,-0.26155,1.67755,-0.26887,2.62954,-0.26887,2.62954,0.00000,0.00000,16,0.00038
0.3052,0.09048,-0.63686,0.09048,-0.63686,0.06322,-0.63634,-0.26338,1.70934,-0.35821,2.66385,-0.35821,2.66385,0.00000,0.00000,0,0.00031
0.4071,0.14529,-0.64486,0.14529,-0.64486,0.12065,-0.64121,-0.26826,1.74125,-0.44923,2.70306,-0.44923,2.70306,0.00000,0.00000,0,0.00036
0.5079,0.20790,-0.65060,0.20790,-0.65060,0.17890,-0.64940,-0.27601,1.77360,-0.54437,2.74770,-0.54437,2.74770,0.00000,0.00000,0,0.00033
0.6093,0.37166,-0.60328,0.37166,-0.60328,0.29895,-0.62359,-0.28823,1.80543,-0.73666,2.74082,-0.73666,2.74082,0.00000,0.00000,0,0.00033
0.7101,0.62455,-0.45913,0.62455,-0.45913,0.53512,-0.52027,-0.31039,1.83367,-1.11307,2.61407,-1.11307,2.61407,0.00000,0.00000,0,0.00029
0.8116,0.67863,-0.24716,0.67863,-0.24716,0.64682,-0.34196,-0.34097,1.85457,-1.31120,2.36752,-1.31120,2.36752,0.00000,0.00000,0,0.00029
0.9128,0.70621,-0.08202,0.70621,-0.08202,0.69773,-0.14428,-0.37508,1.86483,-1.42167,2.08124,-1.42167,2.08124,0.00000,0.00000,0,0.00027
1.0143,0.70329,0.03059,0.70329,0.03059,0.70227,-0.01785,-0.41017,1.86786,-1.46357,1.89463,-1.46357,1.89463,0.00000,0.00000,32,0.00027
1.1156,0.68020,0.08167,0.68020,0.08167,0.69281,0.05077,-0.44514,1.86675,-1.48435,1.79060,-1.48435,1.79060,0.00000,0.00000,0,0.00026
1.2164,0.63096,0.13017,0.63096,0.13017,0.64933,0.10428,-0.47851,1.86255,-1.45250,1.70613,-1.45250,1.70613,0.00000,0.00000,0,0.00025
1.3167,0.55555,0.20394,0.55555,0.20394,0.59809,0.16169,-0.50971,1.85577,-1.40684,1.61324,-1.40684,1.61324,0.00000,0.00000,0,0.00024
1.7336,0.48232,0.30015,0.48232,0.30015,0.49155,0.28810,-0.56761,1.82852,-1.30493,1.39637,-1.30493,1.39637,0.00000,0.00000,0,0.00025
1.7337,0.46956,0.32808,0.46956,0.32808,0.47491,0.31536,-0.59164,1.81327,-1.30400,1.34023,-1.30400,1.34023,0.00000,0.00000,0,0.00037
1.7420,0.44690,0.36256,0.44690,0.36256,0.45511,0.34634,-0.61480,1.79663,-1.29746,1.27712,-1.29746,1.27712,0.00000,0.00000,0,0.00213
1.8414,0.41291,0.50577,0.41291,0.50577,0.42984,0.43571,-0.63687,1.77718,-1.28162,1.12361,-1.28162,1.12361,0.00000,0.00000,0,0.00027
2.1788,0.10608,0.65596,0.10608,0.65596,0.25081,0.59626,-0.65440,1.75055,-1.03061,0.85617,-1.03061,0.85617,0.00000,0.00000,0,0.00037
2.1791,-0.26192,0.71326,-0.26192,0.71326,-0.07795,0.67997,-0.65748,1.71798,-0.54056,0.69803,-0.54056,0.69803,0.00000,0.00000,0,0.00079
2.1795,-0.44903,0.69056,-0.44903,0.69056,-0.35463,0.69910,-0.64468,1.68283,-0.11274,0.63418,-0.11274,0.63418,0.00000,0.00000,0,0.00025
2.2487,-0.60539,0.58846,-0.60539,0.58846,-0.52040,0.63405,-0.62202,1.64952,0.15858,0.69844,0.15858,0.69844,0.00000,0.00000,0,0.00025
2.3501,-0.79585,0.16053,-0.79585,0.16053,-0.71068,0.32065,-0.59025,1.62562,0.47576,1.14464,0.47576,1.14464,0.00000,0.00000,0,0.00051
2.4520,-0.81638,-0.05855,-0.81638,-0.05855,-0.80005,0.06141,-0.55128,1.61753,0.64880,1.52542,0.64880,1.52542,0.00000,0.00000,0,0.00028
2.5544,-0.75414,-0.30616,-0.75414,-0.30616,-0.77520,-0.17841,-0.51185,1.62163,0.65095,1.88924,0.65095,1.88924,0.00000,0.00000,0,0.00037
2.6555,-0.59941,-0.52494,-0.59941,-0.52494,-0.66480,-0.43261,-0.47617,1.63911,0.52103,2.28802,0.52103,2.28802,0.00000,0.00000,0,0.00037
2.7581,-0.56423,-0.54902,-0.56423,-0.54902,-0.58887,-0.52099,-0.44560,1.66385,0.43770,2.44534,0.43770,2.44534,0.00000,0.00000,0,0.00040
2.8605,-0.48866,-0.59909,-0.48866,-0.59909,-0.52029,-0.57600,-0.41825,1.69167,0.36218,2.55567,0.36218,2.55567,0.00000,0.00000,0,0.00045
2.9636,-0.29018,-0.66816,-0.29018,-0.66816,-0.38838,-0.64395,-0.39555,1.72248,0.18701,2.68841,0.18701,2.68841,0.00000,0.00000,0,0.00103
3.0648,-0.03543,-0.63071,-0.03543,-0.63071,-0.12837,-0.64377,-0.38430,1.75505,-0.19175,2.72070,-0.19175,2.72070,0.00000,0.00000,0,0.00027
3.1660,0.05552,-0.63338,0.05552,-0.63338,0.00852,-0.63587,-0.38245,1.78704,-0.39523,2.74085,-0.39523,2.74085,0.00000,0.00000,16,0.00028
