t_s,roll,pitch,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual
0.0000,0.16402,0.01353,0.16402,0.01353,0.16732,0.01443,-0.18544,1.42229,-0.43642,1.40064,-0.43642,1.40064,0.00000,0.00000,32,0.00032
0.1022,0.16168,0.01703,0.16168,0.01703,0.16369,0.01580,-0.19370,1.42229,-0.43924,1.39859,-0.43924,1.39859,0.00000,0.00000,32,0.00025
0.2028,0.15685,0.01881,0.15685,0.01881,0.15934,0.01808,-0.20176,1.42229,-0.44077,1.39516,-0.44077,1.39516,0.00000,0.00000,32,0.00027
0.3033,0.14840,0.01883,0.14840,0.01883,0.15257,0.01892,-0.20955,1.42229,-0.43840,1.39390,-0.43840,1.39390,0.00000,0.00000,32,0.00026
0.4058,0.14015,0.01779,0.14015,0.01779,0.14373,0.01853,-0.21691,1.42229,-0.43251,1.39450,-0.43251,1.39450,0.00000,0.00000,32,0.00035
0.5060,0.13118,0.01283,0.13118,0.01283,0.13555,0.01530,-0.22386,1.42229,-0.42719,1.39934,-0.42719,1.39934,0.00000,0.00000,32,0.00028
0.6102,0.11994,0.00201,0.11994,0.00201,0.12542,0.00658,-0.23034,1.42229,-0.41848,1.41242,-0.41848,1.41242,0.00000,0.00000,32,0.00033
0.7135,0.08369,-0.01876,0.08369,-0.01876,0.10032,-0.00849,-0.23596,1.42229,-0.38644,1.43502,-0.38644,1.43502,0.00000,0.00000,32,0.00091
0.8138,0.05903,-0.03436,0.05903,-0.03436,0.07046,-0.02809,-0.24003,1.42304,-0.34573,1.46517,-0.34573,1.46517,0.00000,0.00000,0,0.00028
0.9162,0.05591,-0.04024,0.05591,-0.04024,0.05895,-0.03755,-0.24316,1.42477,-0.33159,1.48110,-0.33159,1.48110,0.00000,0.00000,0,0.00041
1.0175,0.05103,-0.04491,0.05103,-0.04491,0.05415,-0.04268,-0.24596,1.42682,-0.32719,1.49084,-0.32719,1.49084,0.00000,0.00000,0,0.00031
