t_s,roll,pitch,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual
0.0000,-0.05943,-0.31932,-0.05943,-0.31932,-0.06092,-0.31630,-0.15257,1.69372,-0.06119,2.16818,-0.06119,2.16818,0.00000,0.00000,0,0.00049
0.1013,-0.05491,-0.32332,-0.05491,-0.32332,-0.05716,-0.32129,-0.14963,1.70969,-0.06388,2.19162,-0.06388,2.19162,0.00000,0.00000,0,0.00099
0.2011,-0.05277,-0.32304,-0.05277,-0.32304,-0.05391,-0.32240,-0.14687,1.72581,-0.06600,2.20941,-0.06600,2.20941,0.00000,0.00000,0,0.00043
0.3017,-0.04759,-0.32584,-0.04759,-0.32584,-0.04998,-0.32522,-0.14429,1.74201,-0.06933,2.22985,-0.06933,2.22985,0.00000,0.00000,0,0.00035
0.4046,-0.04267,-0.32476,-0.04267,-0.32476,-0.04532,-0.32519,-0.14192,1.75828,-0.07394,2.24607,-0.07394,2.24607,0.00000,0.00000,0,0.00029
0.5069,-0.04060,-0.32651,-0.04060,-0.32651,-0.04159,-0.32626,-0.13978,1.77457,-0.07739,2.26396,-0.07739,2.26396,0.00000,0.00000,0,0.00029
0.6077,-0.03717,-0.33232,-0.03717,-0.33232,-0.03894,-0.32998,-0.13778,1.79098,-0.07937,2.28595,-0.07937,2.28595,0.00000,0.00000,0,0.00025
0.7085,-0.03247,-0.33326,-0.03247,-0.33326,-0.03562,-0.33231,-0.13591,1.80755,-0.08248,2.30601,-0.08248,2.30601,0.00000,0.00000,0,0.00026
0.8104,0.04205,-0.28762,0.04205,-0.28762,0.01648,-0.30177,-0.13535,1.82348,-0.16006,2.27614,-0.16006,2.27614,0.00000,0.00000,16,0.00071
0.9109,0.11132,-0.27995,0.11132,-0.27995,0.08517,-0.28227,-0.13805,1.83799,-0.26579,2.26139,-0.26579,2.26139,0.00000,0.00000,0,0.00029
1.0155,0.14711,-0.26464,0.14711,-0.26464,0.12986,-0.26888,-0.14375,1.85168,-0.33853,2.25500,-0.33853,2.25500,0.00000,0.00000,0,0.00037
1.1164,0.16594,-0.25200,0.16594,-0.25200,0.15576,-0.25730,-0.15112,1.86474,-0.38476,2.25069,-0.38476,2.25069,0.00000,0.00000,0,0.00027
1.2190,0.18199,-0.21643,0.18199,-0.21643,0.17327,-0.23629,-0.15943,1.87713,-0.41933,2.23157,-0.41933,2.23157,0.00000,0.00000,0,0.00031
1.3207,0.19639,-0.17735,0.19639,-0.17735,0.19035,-0.19371,-0.16863,1.88762,-0.45416,2.17819,-0.45416,2.17819,0.00000,0.00000,0,0.00109
1.4224,0.20557,-0.14972,0.20557,-0.14972,0.20084,-0.16403,-0.17844,1.89642,-0.47971,2.14247,-0.47971,2.14247,0.00000,0.00000,0,0.00036
1.5265,0.21697,-0.10796,0.21697,-0.10796,0.21232,-0.12291,-0.18884,1.90335,-0.50731,2.08772,-0.50731,2.08772,0.00000,0.00000,0,0.00027
1.6268,0.22329,-0.09564,0.22329,-0.09564,0.21825,-0.10300,-0.19961,1.90884,-0.52698,2.06334,-0.52698,2.06334,0.00000,0.00000,0,0.00026
1.7291,0.22323,-0.08894,0.22323,-0.08894,0.22302,-0.09190,-0.21070,1.91362,-0.54524,2.05147,-0.54524,2.05147,0.00000,0.00000,0,0.00027
1.8320,0.22442,-0.08358,0.22442,-0.08358,0.22355,-0.08689,-0.22189,1.91808,-0.55722,2.04841,-0.55722,2.04841,0.00000,0.00000,0,0.00122
1.9346,0.22629,-0.07992,0.22629,-0.07992,0.22548,-0.08230,-0.23310,1.92230,-0.57131,2.04575,-0.57131,2.04575,0.00000,0.00000,0,0.00028
2.0352,0.23473,-0.07260,0.23473,-0.07260,0.23129,-0.07589,-0.24453,1.92624,-0.59146,2.04007,-0.59146,2.04007,0.00000,0.00000,0,0.00028
2.1369,0.23676,-0.06710,0.23676,-0.06710,0.23539,-0.07049,-0.25623,1.92988,-0.60933,2.03561,-0.60933,2.03561,0.00000,0.00000,0,0.00076
2.2391,0.24136,-0.05635,0.24136,-0.05635,0.23874,-0.06132,-0.26808,1.93314,-0.62620,2.02512,-0.62620,2.02512,0.00000,0.00000,0,0.00033
2.3400,0.30624,-0.01669,0.30624,-0.01669,0.27131,-0.03781,-0.28068,1.93569,-0.68765,1.99241,-0.68765,1.99241,0.00000,0.00000,0,0.00029
2.4437,0.38664,0.05780,0.38664,0.05780,0.36158,0.01869,-0.29725,1.93600,-0.83963,1.90796,-0.83963,1.90796,0.00000,0.00000,32,0.00111
2.5446,0.38742,0.17372,0.38742,0.17372,0.38293,0.13345,-0.31615,1.93150,-0.89055,1.73132,-0.89055,1.73132,0.00000,0.00000,0,0.00027
2.6474,0.38774,0.18834,0.38774,0.18834,0.38937,0.17720,-0.33556,1.92329,-0.91962,1.65750,-0.91962,1.65750,0.00000,0.00000,0,0.00118
2.7485,0.38941,0.19468,0.38941,0.19468,0.39065,0.19119,-0.35507,1.91396,-0.94105,1.62717,-0.94105,1.62717,0.00000,0.00000,0,0.00028
