t_s,roll,pitch,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual,mt_0,enc_0,vel_0,iq_sp_0,iq_0,mt_1,enc_1,vel_1,iq_sp_1,iq_1,mt_2,enc_2,vel_2,iq_sp_2,iq_2,mt_3,enc_3,vel_3,iq_sp_3,iq_3,mt_4,enc_4,vel_4,iq_sp_4,iq_4,mt_5,enc_5,vel_5,iq_sp_5,iq_5
0.0000,0.08192,0.93212,0.08192,0.93212,0.09566,0.93886,-1.94100,2.77279,-2.03666,1.83392,-2.03666,1.83392,0.00000,0.00000,0,0.00048,0.04716,0.04803,-0.00268,2.51876,2.46522,-0.05681,-0.06947,0.00085,2.00250,1.94353,0.00136,-0.00122,0.00065,2.44447,2.59390,-0.05425,-0.04314,-0.02638,3.70166,3.97217,0.15516,0.16314,-0.00858,3.68459,3.71576,0.03810,0.06431,-0.00607,3.42957,3.50122
0.1010,0.06599,0.92383,0.06599,0.92383,0.07348,0.92799,-1.94343,2.74483,-2.01691,1.81684,-2.01691,1.81684,0.00000,0.00000,0,0.00026,0.04747,0.04803,-0.00587,2.47830,2.49666,-0.05582,-0.06944,0.01385,1.95614,2.00745,0.00218,-0.00121,0.00048,2.40453,2.29332,-0.05534,-0.04460,-0.00050,3.75593,3.68453,0.15400,0.16239,-0.01129,3.74031,3.42350,0.03823,0.06429,-0.00758,3.47059,3.61836
0.2019,0.05283,0.91486,0.05283,0.91486,0.05929,0.91914,-1.94538,2.71714,-2.00467,1.79800,-2.00467,1.79800,0.00000,0.00000,0,0.00029,0.04800,0.04806,0.00762,2.49526,2.35904,-0.05517,-0.06946,0.00173,1.88224,1.63102,0.00266,-0.00121,-0.00069,2.34378,2.19303,-0.05635,-0.04612,-0.02514,3.70134,3.80644,0.15297,0.16171,-0.01754,3.75086,3.60273,0.03863,0.06429,-0.00028,3.47430,3.46719
0.3031,0.03991,0.90665,0.03991,0.90665,0.04604,0.91083,-1.94692,2.68972,-1.99296,1.77889,-1.99296,1.77889,0.00000,0.00000,0,0.00027,0.04856,0.04806,0.00356,2.42034,2.54301,-0.05455,-0.06946,0.00051,1.81209,1.93410,0.00312,-0.00121,-0.00260,2.33652,2.27244,-0.05736,-0.04722,0.00012,3.76160,3.96054,0.15194,0.16096,-0.00727,3.76738,3.66450,0.03905,0.06428,0.00553,3.53719,3.47669
0.4065,0.02834,0.89943,0.02834,0.89943,0.03363,0.90273,-1.94807,2.66254,-1.98170,1.75981,-1.98170,1.75981,0.00000,0.00000,0,0.00038,0.04913,0.04808,-0.00081,2.38155,2.35429,-0.05394,-0.06944,-0.00070,1.75278,1.70657,0.00355,-0.00122,-0.00508,2.28757,2.24225,-0.05837,-0.04818,-0.00747,3.76741,3.77745,0.15093,0.15957,-0.01659,3.78369,3.77685,0.03948,0.06422,0.00245,3.51571,3.51911
0.5068,0.01357,0.89417,0.01357,0.89417,0.02032,0.89716,-1.94884,2.63556,-1.96916,1.73840,-1.96916,1.73840,0.00000,0.00000,0,0.00030,0.04976,0.04810,-0.00253,2.34028,2.42345,-0.05327,-0.06943,0.00242,1.70414,1.55606,0.00403,-0.00123,-0.01487,2.24807,2.29809,-0.05949,-0.04900,-0.01038,3.81326,3.76978,0.14980,0.15772,-0.02533,3.70179,3.49687,0.03997,0.06418,0.00642,3.58105,3.59548
0.6088,-0.00314,0.88676,-0.00314,0.88676,0.00438,0.89004,-1.94884,2.60877,-1.95322,1.71873,-1.95322,1.71873,0.00000,0.00000,16,0.00032,0.05025,0.04814,0.00795,2.33404,2.37847,-0.05244,-0.06942,0.00711,1.60867,1.56558,0.00468,-0.00121,-0.00799,2.19693,2.21631,-0.06061,-0.04987,-0.01427,3.82662,3.90474,0.14864,0.15608,-0.01336,3.72566,4.00020,0.04030,0.06405,-0.01350,3.53431,3.36359
0.7136,-0.01925,0.88066,-0.01925,0.88066,-0.01263,0.88417,-1.94884,2.58217,-1.93621,1.69800,-1.93621,1.69800,0.00000,0.00000,16,0.00030,0.05077,0.04815,-0.00203,2.25958,2.20703,-0.05156,-0.06941,0.00479,1.52454,1.47877,0.00537,-0.00120,-0.00297,2.12906,2.22326,-0.06179,-0.05051,-0.00628,3.89412,4.08319,0.14741,0.15452,-0.00565,3.75809,3.53442,0.04064,0.06397,-0.00296,3.58019,3.50640
0.8182,-0.03103,0.87460,-0.03103,0.87460,-0.02436,0.87728,-1.94857,2.55577,-1.92420,1.67849,-1.92420,1.67849,0.00000,0.00000,0,0.00111,0.05134,0.04816,-0.00777,2.23003,1.97617,-0.05092,-0.06942,-0.00129,1.45117,1.48913,0.00583,-0.00119,-0.00317,2.10171,2.03427,-0.06282,-0.05113,-0.00119,3.97821,4.07443,0.14636,0.15335,0.00423,3.79463,3.68875,0.04107,0.06385,-0.00507,3.57787,3.49847
0.9184,-0.04270,0.86753,-0.04270,0.86753,-0.03600,0.87108,-1.94764,2.52956,-1.91163,1.65848,-1.91163,1.65848,0.00000,0.00000,0,0.00034,0.05192,0.04824,0.00128,2.18825,2.21718,-0.05025,-0.06941,-0.00290,1.35259,1.41570,0.00632,-0.00118,0.00359,2.08475,2.09092,-0.06389,-0.05181,-0.00584,3.99014,3.92747,0.14528,0.15238,-0.01622,3.75941,3.82753,0.04150,0.06378,0.01322,3.63968,3.58747
