exp_us,iso,detect_hz,frame_hz,detect_frac,latency_mean,latency_std,latency_p95,sat_mean,sat_p50,val_mean,over_clip_frac,under_clip_frac,mean,tenengrad
8000,1600,10.64,7.18,1.483,122.4,39.1,194.6,54.6313,15.149,161.5997,0.0,0.0039,152.5983,34214.3594
6000,1600,11.93,8.2,1.455,114.2,34.2,169.0,60.7924,16.6762,143.5284,0.0,0.0077,135.1233,28853.1814
4000,1600,10.98,7.73,1.419,105.9,32.8,161.4,68.0777,19.4598,119.6759,0.0,0.0199,112.2331,21064.6451
3000,1600,11.7,8.71,1.343,106.6,30.6,156.2,70.4714,21.9167,103.2135,0.0,0.0364,96.5073,15573.3665
2000,1600,0.0,9.41,0.0,95.7,28.0,151.8,67.1875,15.7007,80.7792,0.0,0.0866,75.5156,9780.6586
1500,1600,0.0,8.96,0.0,80.7,21.2,113.7,52.6505,13.0322,65.4301,0.0,0.1249,61.725,6577.6373
1000,1600,0.0,9.16,0.0,85.8,25.4,135.9,39.4029,0.0,45.3001,0.0,0.1876,42.7995,3190.6753
750,1600,0.0,9.17,0.0,76.1,19.6,103.0,32.5441,0.0,34.0056,0.0,0.2185,32.5379,1770.0737
500,1600,0.0,9.24,0.0,69.0,18.7,100.5,27.7904,0.0,22.416,0.0,0.2536,21.5018,712.3724
