t_s,roll,pitch,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual
0.0000,0.02373,-0.15786,0.02373,-0.15786,0.01867,-0.15762,-0.50669,1.64757,-0.51976,1.75791,-0.51976,1.75791,0.00000,0.00000,16,0.00030
0.1041,0.02591,-0.15836,0.02591,-0.15836,0.02617,-0.15881,-0.50669,1.65074,-0.52501,1.76191,-0.52501,1.76191,0.00000,0.00000,16,0.00031
0.2061,0.03463,-0.15192,0.03463,-0.15192,0.03009,-0.15456,-0.50669,1.65388,-0.52776,1.76207,-0.52776,1.76207,0.00000,0.00000,16,0.00031
0.3095,0.03223,-0.15117,0.03223,-0.15117,0.03262,-0.15262,-0.50669,1.65694,-0.52953,1.76378,-0.52953,1.76378,0.00000,0.00000,16,0.00026
0.4101,0.03609,-0.14718,0.03609,-0.14718,0.03578,-0.14892,-0.50669,1.65995,-0.53174,1.76420,-0.53174,1.76420,0.00000,0.00000,16,0.00026
0.5111,0.03593,-0.14292,0.03593,-0.14292,0.03704,-0.14456,-0.50669,1.66288,-0.53262,1.76407,-0.53262,1.76407,0.00000,0.00000,16,0.00032
0.6126,0.03211,-0.13764,0.03211,-0.13764,0.03358,-0.14003,-0.50669,1.66572,-0.53020,1.76374,-0.53020,1.76374,0.00000,0.00000,16,0.00027
0.7154,0.03576,-0.13177,0.03576,-0.13177,0.03314,-0.13489,-0.50669,1.66846,-0.52989,1.76288,-0.52989,1.76288,0.00000,0.00000,16,0.00095
0.8156,0.03865,-0.11796,0.03865,-0.11796,0.03556,-0.12512,-0.50669,1.67106,-0.53158,1.75864,-0.53158,1.75864,0.00000,0.00000,16,0.00035
0.9187,0.07648,-0.04045,0.07648,-0.04045,0.06352,-0.08134,-0.50739,1.67316,-0.55185,1.73010,-0.55185,1.73010,0.00000,0.00000,0,0.00028
1.0194,0.07476,0.00065,0.07476,0.00065,0.06885,-0.01597,-0.50870,1.67341,-0.55690,1.68459,-0.55690,1.68459,0.00000,0.00000,32,0.00027
1.1221,0.07733,0.00807,0.07733,0.00807,0.07504,0.00255,-0.51016,1.67341,-0.56269,1.67163,-0.56269,1.67163,0.00000,0.00000,32,0.00035
1.2240,0.08134,0.01114,0.08134,0.01114,0.07874,0.00922,-0.51170,1.67341,-0.56682,1.66696,-0.56682,1.66696,0.00000,0.00000,32,0.00120
1.3246,0.07333,0.01132,0.07333,0.01132,0.07521,0.01027,-0.51323,1.67341,-0.56587,1.66622,-0.56587,1.66622,0.00000,0.00000,32,0.00030
1.4253,0.07277,0.00832,0.07277,0.00832,0.07326,0.00953,-0.51470,1.67341,-0.56599,1.66674,-0.56599,1.66674,0.00000,0.00000,32,0.00037
1.5295,0.07161,0.00957,0.07161,0.00957,0.07183,0.00921,-0.51614,1.67341,-0.56642,1.66696,-0.56642,1.66696,0.00000,0.00000,32,0.00097
1.6330,0.07353,0.00949,0.07353,0.00949,0.07343,0.01011,-0.51760,1.67341,-0.56900,1.66633,-0.56900,1.66633,0.00000,0.00000,32,0.00102
1.7332,0.07513,0.01014,0.07513,0.01014,0.07423,0.01021,-0.51908,1.67341,-0.57104,1.66626,-0.57104,1.66626,0.00000,0.00000,32,0.00026
1.8347,0.07768,0.01057,0.07768,0.01057,0.07601,0.01035,-0.52057,1.67341,-0.57378,1.66616,-0.57378,1.66616,0.00000,0.00000,32,0.00038
1.9367,0.08377,0.01485,0.08377,0.01485,0.08104,0.01303,-0.52216,1.67341,-0.57889,1.66429,-0.57889,1.66429,0.00000,0.00000,32,0.00028
2.0386,0.08565,0.01453,0.08565,0.01453,0.08403,0.01413,-0.52382,1.67341,-0.58263,1.66352,-0.58263,1.66352,0.00000,0.00000,32,0.00028
2.1391,0.07661,0.01407,0.07661,0.01407,0.08186,0.01446,-0.52549,1.67341,-0.58279,1.66329,-0.58279,1.66329,0.00000,0.00000,32,0.00027
2.2398,0.07818,0.01910,0.07818,0.01910,0.07851,0.01680,-0.52708,1.67341,-0.58204,1.66165,-0.58204,1.66165,0.00000,0.00000,32,0.00027
2.3420,0.07113,0.01893,0.07113,0.01893,0.07455,0.01891,-0.52860,1.67341,-0.58079,1.66017,-0.58079,1.66017,0.00000,0.00000,32,0.00033
2.4450,0.06983,0.02248,0.06983,0.02248,0.07084,0.02127,-0.53005,1.67341,-0.57964,1.65852,-0.57964,1.65852,0.00000,0.00000,32,0.00107
2.5450,0.07090,0.02332,0.07090,0.02332,0.07026,0.02277,-0.53145,1.67341,-0.58064,1.65747,-0.58064,1.65747,0.00000,0.00000,32,0.00031
2.6456,0.07214,0.02552,0.07214,0.02552,0.07131,0.02429,-0.53286,1.67341,-0.58278,1.65641,-0.58278,1.65641,0.00000,0.00000,32,0.00031
2.7473,0.07585,0.02983,0.07585,0.02983,0.07380,0.02755,-0.53431,1.67341,-0.58598,1.65413,-0.58598,1.65413,0.00000,0.00000,32,0.00028
2.8485,0.07556,0.03100,0.07556,0.03100,0.07384,0.02977,-0.53578,1.67341,-0.58747,1.65257,-0.58747,1.65257,0.00000,0.00000,32,0.00034
2.9503,0.07793,0.03320,0.07793,0.03320,0.07696,0.03214,-0.53730,1.67341,-0.59117,1.65091,-0.59117,1.65091,0.00000,0.00000,32,0.00034
3.0516,0.07954,0.03483,0.07954,0.03483,0.07799,0.03388,-0.53885,1.67341,-0.59344,1.64970,-0.59344,1.64970,0.00000,0.00000,32,0.00029
3.1562,0.07779,0.03562,0.07779,0.03562,0.07907,0.03531,-0.54043,1.67341,-0.59578,1.64869,-0.59578,1.64869,0.00000,0.00000,32,0.00177
3.2558,0.08341,0.03676,0.08341,0.03676,0.08175,0.03651,-0.54204,1.67341,-0.59927,1.64785,-0.59927,1.64785,0.00000,0.00000,32,0.00038
3.3570,0.08265,0.03881,0.08265,0.03881,0.08232,0.03791,-0.54368,1.67341,-0.60131,1.64687,-0.60131,1.64687,0.00000,0.00000,32,0.00030
3.4586,0.07941,0.03782,0.07941,0.03782,0.08159,0.03909,-0.54534,1.67341,-0.60245,1.64605,-0.60245,1.64605,0.00000,0.00000,32,0.00025
3.5609,0.07363,0.03694,0.07363,0.03694,0.07674,0.03749,-0.54691,1.67341,-0.60063,1.64717,-0.60063,1.64717,0.00000,0.00000,32,0.00028
3.6620,0.07290,0.04063,0.07290,0.04063,0.07565,0.03899,-0.54844,1.67341,-0.60139,1.64612,-0.60139,1.64612,0.00000,0.00000,32,0.00029
3.7629,0.07569,0.04411,0.07569,0.04411,0.07430,0.04228,-0.54992,1.67341,-0.60193,1.64381,-0.60193,1.64381,0.00000,0.00000,32,0.00024
3.8649,0.07152,0.04572,0.07152,0.04572,0.07338,0.04391,-0.55140,1.67341,-0.60277,1.64267,-0.60277,1.64267,0.00000,0.00000,32,0.00031
3.9672,0.07483,0.04314,0.07483,0.04314,0.07237,0.04340,-0.55284,1.67341,-0.60350,1.64303,-0.60350,1.64303,0.00000,0.00000,32,0.00028
4.0686,0.07452,0.04322,0.07452,0.04322,0.07500,0.04338,-0.55432,1.67341,-0.60683,1.64305,-0.60683,1.64305,0.00000,0.00000,32,0.00025
4.1695,0.07569,0.04461,0.07569,0.04461,0.07650,0.04474,-0.55585,1.67341,-0.60940,1.64209,-0.60940,1.64209,0.00000,0.00000,32,0.00032
4.2719,0.07527,0.04664,0.07527,0.04664,0.07575,0.04574,-0.55737,1.67341,-0.61040,1.64139,-0.61040,1.64139,0.00000,0.00000,32,0.00026
4.3728,0.07033,0.04803,0.07033,0.04803,0.07316,0.04752,-0.55886,1.67341,-0.61007,1.64015,-0.61007,1.64015,0.00000,0.00000,32,0.00035
4.4738,0.07139,0.04875,0.07139,0.04875,0.07194,0.04854,-0.56030,1.67341,-0.61066,1.63943,-0.61066,1.63943,0.00000,0.00000,32,0.00026
4.5748,0.06713,0.04677,0.06713,0.04677,0.06868,0.04774,-0.56170,1.67341,-0.60978,1.64000,-0.60978,1.64000,0.00000,0.00000,32,0.00027
4.6764,0.06669,0.04898,0.06669,0.04898,0.06821,0.04925,-0.56307,1.67341,-0.61082,1.63893,-0.61082,1.63893,0.00000,0.00000,32,0.00027
4.7772,0.06515,0.04979,0.06515,0.04979,0.06524,0.04946,-0.56440,1.67341,-0.61007,1.63879,-0.61007,1.63879,0.00000,0.00000,32,0.00026
4.8828,0.06352,0.05041,0.06352,0.05041,0.06417,0.04957,-0.56569,1.67341,-0.61060,1.63871,-0.61060,1.63871,0.00000,0.00000,32,0.00029
4.9831,0.06626,0.05555,0.06626,0.05555,0.06590,0.05356,-0.56699,1.67237,-0.61312,1.63488,-0.61312,1.63488,0.00000,0.00000,0,0.00027
5.0854,0.06591,0.05628,0.06591,0.05628,0.06666,0.05552,-0.56833,1.67127,-0.61499,1.63241,-0.61499,1.63241,0.00000,0.00000,0,0.00029
5.1890,0.07151,0.06011,0.07151,0.06011,0.06971,0.05953,-0.56970,1.67011,-0.61849,1.62844,-0.61849,1.62844,0.00000,0.00000,0,0.00027
5.2898,0.07448,0.05554,0.07448,0.05554,0.07322,0.05700,-0.57113,1.66894,-0.62239,1.62904,-0.62239,1.62904,0.00000,0.00000,0,0.00033
5.3915,0.07419,0.05640,0.07419,0.05640,0.07438,0.05677,-0.57262,1.66781,-0.62468,1.62807,-0.62468,1.62807,0.00000,0.00000,0,0.00026
5.4918,0.07197,0.05639,0.07197,0.05639,0.07205,0.05591,-0.57407,1.66669,-0.62450,1.62755,-0.62450,1.62755,0.00000,0.00000,0,0.00026
5.5946,0.07267,0.05949,0.07267,0.05949,0.07237,0.05726,-0.57551,1.66557,-0.62617,1.62548,-0.62617,1.62548,0.00000,0.00000,0,0.00068
5.6971,0.06857,0.07046,0.06857,0.07046,0.06942,0.06489,-0.57692,1.66435,-0.62552,1.61892,-0.62552,1.61892,0.00000,0.00000,0,0.00030
5.7981,0.06302,0.07438,0.06302,0.07438,0.06601,0.07196,-0.57827,1.66296,-0.62448,1.61259,-0.62448,1.61259,0.00000,0.00000,0,0.00037
5.8997,0.06177,0.07376,0.06177,0.07376,0.06235,0.07380,-0.57955,1.66149,-0.62319,1.60983,-0.62319,1.60983,0.00000,0.00000,0,0.00057
6.0024,0.06020,0.08069,0.06020,0.08069,0.06142,0.07845,-0.58079,1.65996,-0.62378,1.60504,-0.62378,1.60504,0.00000,0.00000,0,0.00159
6.1024,0.06299,0.08451,0.06299,0.08451,0.06239,0.08252,-0.58202,1.65834,-0.62569,1.60058,-0.62569,1.60058,0.00000,0.00000,0,0.00037
6.2040,0.06375,0.08387,0.06375,0.08387,0.06358,0.08358,-0.58328,1.65667,-0.62779,1.59817,-0.62779,1.59817,0.00000,0.00000,0,0.00028
6.3057,0.06670,0.08694,0.06670,0.08694,0.06544,0.08579,-0.58457,1.65498,-0.63038,1.59493,-0.63038,1.59493,0.00000,0.00000,0,0.00029
6.4096,0.06917,0.08764,0.06917,0.08764,0.06792,0.08672,-0.58591,1.65325,-0.63346,1.59254,-0.63346,1.59254,0.00000,0.00000,0,0.00027
6.5118,0.07625,0.09201,0.07625,0.09201,0.07335,0.09025,-0.58733,1.65148,-0.63867,1.58830,-0.63867,1.58830,0.00000,0.00000,0,0.00032
6.6128,0.08098,0.09515,0.08098,0.09515,0.07820,0.09357,-0.58885,1.64963,-0.64359,1.58414,-0.64359,1.58414,0.00000,0.00000,0,0.00028
6.7141,0.08078,0.09826,0.08078,0.09826,0.08030,0.09673,-0.59044,1.64772,-0.64665,1.58001,-0.64665,1.58001,0.00000,0.00000,0,0.00027
6.8153,0.08391,0.09894,0.08391,0.09894,0.08198,0.09853,-0.59206,1.64577,-0.64945,1.57680,-0.64945,1.57680,0.00000,0.00000,0,0.00024
6.9185,0.08149,0.09788,0.08149,0.09788,0.08117,0.09767,-0.59369,1.64381,-0.65050,1.57544,-0.65050,1.57544,0.00000,0.00000,0,0.00100
7.0199,0.07679,0.09265,0.07679,0.09265,0.07907,0.09465,-0.59529,1.64189,-0.65065,1.57564,-0.65065,1.57564,0.00000,0.00000,0,0.00032
7.1207,0.07855,0.08952,0.07855,0.08952,0.07876,0.09085,-0.59688,1.64004,-0.65201,1.57644,-0.65201,1.57644,0.00000,0.00000,0,0.00026
7.2225,0.07305,0.08764,0.07305,0.08764,0.07536,0.08820,-0.59841,1.63826,-0.65116,1.57652,-0.65116,1.57652,0.00000,0.00000,0,0.00033
7.3259,0.07342,0.08831,0.07342,0.08831,0.07270,0.08853,-0.59988,1.63649,-0.65076,1.57452,-0.65076,1.57452,0.00000,0.00000,0,0.00027
7.4271,0.06641,0.08895,0.06641,0.08895,0.06942,0.08904,-0.60130,1.63470,-0.64989,1.57238,-0.64989,1.57238,0.00000,0.00000,0,0.00031
7.5302,0.06778,0.09097,0.06778,0.09097,0.06817,0.09044,-0.60267,1.63291,-0.65039,1.56961,-0.65039,1.56961,0.00000,0.00000,0,0.00026
7.6305,0.06499,0.08678,0.06499,0.08678,0.06581,0.08836,-0.60400,1.63112,-0.65007,1.56927,-0.65007,1.56927,0.00000,0.00000,0,0.00025
7.7327,0.06431,0.08817,0.06431,0.08817,0.06516,0.08815,-0.60531,1.62936,-0.65092,1.56766,-0.65092,1.56766,0.00000,0.00000,0,0.00030
7.8362,0.06251,0.08410,0.06251,0.08410,0.06263,0.08575,-0.60657,1.62762,-0.65041,1.56760,-0.65041,1.56760,0.00000,0.00000,0,0.00028
7.9387,0.06243,0.08114,0.06243,0.08114,0.06315,0.08240,-0.60783,1.62595,-0.65204,1.56827,-0.65204,1.56827,0.00000,0.00000,0,0.00030
8.0400,0.06751,0.07820,0.06751,0.07820,0.06653,0.07945,-0.60915,1.62434,-0.65572,1.56872,-0.65572,1.56872,0.00000,0.00000,0,0.00030
8.1415,0.06445,0.07749,0.06445,0.07749,0.06571,0.07800,-0.61047,1.62277,-0.65646,1.56817,-0.65646,1.56817,0.00000,0.00000,0,0.00024
8.2443,0.06996,0.07974,0.06996,0.07974,0.06785,0.07903,-0.61180,1.62120,-0.65930,1.56588,-0.65930,1.56588,0.00000,0.00000,0,0.00153
8.3452,0.06934,0.08125,0.06934,0.08125,0.06809,0.08087,-0.61315,1.61960,-0.66082,1.56299,-0.66082,1.56299,0.00000,0.00000,0,0.00030
8.4483,0.07088,0.07901,0.07088,0.07901,0.07027,0.07899,-0.61455,1.61801,-0.66373,1.56271,-0.66373,1.56271,0.00000,0.00000,0,0.00036
8.5487,0.07334,0.07676,0.07334,0.07676,0.07201,0.07726,-0.61597,1.61645,-0.66638,1.56236,-0.66638,1.56236,0.00000,0.00000,0,0.00034
8.6506,0.07026,0.07513,0.07026,0.07513,0.07254,0.07572,-0.61743,1.61492,-0.66821,1.56192,-0.66821,1.56192,0.00000,0.00000,0,0.00032
8.7529,0.07429,0.07777,0.07429,0.07777,0.07314,0.07668,-0.61889,1.61340,-0.67008,1.55973,-0.67008,1.55973,0.00000,0.00000,0,0.00029
8.8540,0.07537,0.07832,0.07537,0.07832,0.07409,0.07778,-0.62035,1.61185,-0.67221,1.55740,-0.67221,1.55740,0.00000,0.00000,0,0.00028
8.9580,0.07208,0.07719,0.07208,0.07719,0.07275,0.07740,-0.62182,1.61030,-0.67275,1.55612,-0.67275,1.55612,0.00000,0.00000,0,0.00028
9.0586,0.07224,0.07656,0.07224,0.07656,0.07232,0.07675,-0.62327,1.60876,-0.67389,1.55504,-0.67389,1.55504,0.00000,0.00000,0,0.00026
9.1606,0.07449,0.07590,0.07449,0.07590,0.07423,0.07579,-0.62474,1.60724,-0.67671,1.55419,-0.67671,1.55419,0.00000,0.00000,0,0.00108
