t_s,roll,pitch,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual
0.0000,1.01585,-0.70576,1.01585,-0.70576,1.01712,-0.70612,0.76141,2.40828,0.04943,2.90257,0.04943,2.90257,0.00000,0.00000,0,0.00023
0.1048,1.01851,-0.70134,1.01851,-0.70134,1.01814,-0.70337,0.74106,2.42238,0.02836,2.91474,0.02836,2.91474,0.00000,0.00000,0,0.00062
0.2051,1.02071,-0.69621,1.02071,-0.69621,1.01913,-0.69900,0.72069,2.43641,0.00730,2.92571,0.00730,2.92571,0.00000,0.00000,0,0.00027
0.3061,1.03538,-0.68322,1.03538,-0.68322,1.02941,-0.68871,0.70020,2.45027,-0.02039,2.93237,-0.02039,2.93237,0.00000,0.00000,0,0.00027
0.4073,1.04825,-0.67129,1.04825,-0.67129,1.04241,-0.67623,0.67944,2.46389,-0.05024,2.93725,-0.05024,2.93725,0.00000,0.00000,0,0.00025
0.5105,1.04938,-0.66621,1.04938,-0.66621,1.04959,-0.66915,0.65849,2.47733,-0.07623,2.94573,-0.07623,2.94573,0.00000,0.00000,0,0.00030
0.6149,1.05184,-0.66060,1.05184,-0.66060,1.05042,-0.66302,0.63748,2.49063,-0.09781,2.95474,-0.09781,2.95474,0.00000,0.00000,0,0.00034
0.7160,1.05011,-0.65016,1.05011,-0.65016,1.05097,-0.65493,0.61647,2.50380,-0.11921,2.96225,-0.11921,2.96225,0.00000,0.00000,0,0.00033
0.8186,1.05784,-0.63260,1.05784,-0.63260,1.05438,-0.64082,0.59542,2.51674,-0.14264,2.96532,-0.14264,2.96532,0.00000,0.00000,0,0.00039
0.9196,1.06829,-0.57324,1.06829,-0.57324,1.06355,-0.60025,0.57423,2.52914,-0.17026,2.94932,-0.17026,2.94932,0.00000,0.00000,0,0.00033
1.0236,1.08502,-0.52397,1.08502,-0.52397,1.07924,-0.54322,0.55276,2.54042,-0.20271,2.92067,-0.20271,2.92067,0.00000,0.00000,0,0.00180
1.1226,1.08584,-0.50978,1.08584,-0.50978,1.08427,-0.51790,0.53111,2.55095,-0.22788,2.91348,-0.22788,2.91348,0.00000,0.00000,0,0.00032
1.2233,1.08650,-0.49831,1.08650,-0.49831,1.08577,-0.50376,0.50941,2.56113,-0.25063,2.91376,-0.25063,2.91376,0.00000,0.00000,0,0.00032
1.3251,1.08694,-0.49109,1.08694,-0.49109,1.08589,-0.49558,0.48770,2.57110,-0.27242,2.91801,-0.27242,2.91801,0.00000,0.00000,0,0.00027
1.4263,1.08721,-0.48922,1.08721,-0.48922,1.08784,-0.49023,0.46596,2.58094,-0.29552,2.92410,-0.29552,2.92410,0.00000,0.00000,0,0.00034
1.5290,1.09546,-0.48093,1.09546,-0.48093,1.09274,-0.48375,0.44414,2.59066,-0.32078,2.92928,-0.32078,2.92928,0.00000,0.00000,0,0.00034
1.6309,1.09564,-0.47560,1.09564,-0.47560,1.09550,-0.47825,0.42225,2.60027,-0.34461,2.93504,-0.34461,2.93504,0.00000,0.00000,0,0.00032
1.7325,1.10156,-0.46932,1.10156,-0.46932,1.09933,-0.47229,0.40029,2.60976,-0.36924,2.94037,-0.36924,2.94037,0.00000,0.00000,0,0.00031
1.8345,1.09863,-0.46685,1.09863,-0.46685,1.09955,-0.46759,0.37830,2.61914,-0.39138,2.94645,-0.39138,2.94645,0.00000,0.00000,0,0.00029
1.9379,1.10328,-0.45901,1.10328,-0.45901,1.10129,-0.46201,0.35629,2.62843,-0.41461,2.95184,-0.41461,2.95184,0.00000,0.00000,0,0.00033
2.0393,1.11225,-0.45198,1.11225,-0.45198,1.10929,-0.45586,0.33417,2.63760,-0.44234,2.95670,-0.44234,2.95670,0.00000,0.00000,0,0.00028
2.1408,1.12079,-0.44046,1.12079,-0.44046,1.11767,-0.44557,0.31188,2.64660,-0.47048,2.95850,-0.47048,2.95850,0.00000,0.00000,0,0.00039
2.2427,1.12401,-0.42464,1.12401,-0.42464,1.12250,-0.43216,0.28947,2.65536,-0.49628,2.95787,-0.49628,2.95787,0.00000,0.00000,0,0.00026
