t_s,roll,pitch,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual
0.0000,0.03950,0.08421,0.03950,0.08421,0.03858,0.08359,-0.66425,1.68229,-0.69126,1.62378,-0.69126,1.62378,0.00000,0.00000,16,0.00025
0.1021,0.03954,0.08642,0.03954,0.08642,0.04028,0.08554,-0.66425,1.68060,-0.69245,1.62072,-0.69245,1.62072,0.00000,0.00000,16,0.00033
0.2041,0.03914,0.08799,0.03914,0.08799,0.03987,0.08700,-0.66425,1.67887,-0.69216,1.61797,-0.69216,1.61797,0.00000,0.00000,16,0.00030
0.3073,0.03699,0.08796,0.03699,0.08796,0.03897,0.08803,-0.66425,1.67712,-0.69153,1.61550,-0.69153,1.61550,0.00000,0.00000,16,0.00026
0.4077,0.04324,0.08975,0.04324,0.08975,0.04147,0.08911,-0.66425,1.67534,-0.69328,1.61297,-0.69328,1.61297,0.00000,0.00000,16,0.00026
0.5093,0.04325,0.09294,0.04325,0.09294,0.04237,0.09153,-0.66425,1.67354,-0.69391,1.60947,-0.69391,1.60947,0.00000,0.00000,16,0.00029
0.6129,0.04236,0.08942,0.04236,0.08942,0.04338,0.09048,-0.66425,1.67171,-0.69462,1.60837,-0.69462,1.60837,0.00000,0.00000,16,0.00029
0.7155,0.04438,0.09006,0.04438,0.09006,0.04366,0.09000,-0.66425,1.66991,-0.69481,1.60691,-0.69481,1.60691,0.00000,0.00000,16,0.00033
0.8164,0.03955,0.08464,0.03955,0.08464,0.04202,0.08761,-0.66425,1.66813,-0.69366,1.60680,-0.69366,1.60680,0.00000,0.00000,16,0.00037
0.9167,0.04287,0.08316,0.04287,0.08316,0.04191,0.08495,-0.66425,1.66641,-0.69358,1.60694,-0.69358,1.60694,0.00000,0.00000,16,0.00027
1.0177,0.04177,0.08230,0.04177,0.08230,0.04115,0.08266,-0.66425,1.66474,-0.69305,1.60689,-0.69305,1.60689,0.00000,0.00000,16,0.00035
1.1179,0.04232,0.08251,0.04232,0.08251,0.04214,0.08297,-0.66425,1.66309,-0.69375,1.60501,-0.69375,1.60501,0.00000,0.00000,16,0.00026
1.2195,0.04465,0.08616,0.04465,0.08616,0.04280,0.08472,-0.66425,1.66141,-0.69421,1.60211,-0.69421,1.60211,0.00000,0.00000,16,0.00029
1.3211,0.04039,0.08464,0.04039,0.08464,0.04285,0.08466,-0.66425,1.65972,-0.69425,1.60046,-0.69425,1.60046,0.00000,0.00000,16,0.00031
1.4236,0.04411,0.08453,0.04411,0.08453,0.04251,0.08443,-0.66425,1.65803,-0.69401,1.59893,-0.69401,1.59893,0.00000,0.00000,16,0.00025
1.5243,0.04007,0.08621,0.04007,0.08621,0.04142,0.08628,-0.66425,1.65632,-0.69325,1.59592,-0.69325,1.59592,0.00000,0.00000,16,0.00030
1.6252,0.04341,0.08598,0.04341,0.08598,0.04195,0.08596,-0.66425,1.65460,-0.69362,1.59442,-0.69362,1.59442,0.00000,0.00000,16,0.00026
1.7266,0.04144,0.08923,0.04144,0.08923,0.04102,0.08740,-0.66425,1.65287,-0.69297,1.59169,-0.69297,1.59169,0.00000,0.00000,16,0.00033
1.8289,0.03936,0.09282,0.03936,0.09282,0.04074,0.09145,-0.66425,1.65107,-0.69277,1.58705,-0.69277,1.58705,0.00000,0.00000,16,0.00028
1.9303,0.03835,0.09414,0.03835,0.09414,0.03904,0.09297,-0.66425,1.64922,-0.69158,1.58414,-0.69158,1.58414,0.00000,0.00000,16,0.00026
2.0325,0.03782,0.09282,0.03782,0.09282,0.03816,0.09297,-0.66425,1.64736,-0.69096,1.58228,-0.69096,1.58228,0.00000,0.00000,16,0.00029
2.1340,0.03862,0.09334,0.03862,0.09334,0.03808,0.09333,-0.66425,1.64549,-0.69090,1.58016,-0.69090,1.58016,0.00000,0.00000,16,0.00030
2.2353,0.03552,0.09297,0.03552,0.09297,0.03601,0.09272,-0.66425,1.64364,-0.68946,1.57873,-0.68946,1.57873,0.00000,0.00000,16,0.00026
2.3362,0.03708,0.09442,0.03708,0.09442,0.03614,0.09400,-0.66425,1.64177,-0.68954,1.57597,-0.68954,1.57597,0.00000,0.00000,16,0.00038
2.4372,0.03686,0.09625,0.03686,0.09625,0.03665,0.09593,-0.66425,1.63987,-0.68990,1.57271,-0.68990,1.57271,0.00000,0.00000,16,0.00034
2.5392,0.03486,0.09578,0.03486,0.09578,0.03566,0.09631,-0.66425,1.63794,-0.68921,1.57052,-0.68921,1.57052,0.00000,0.00000,16,0.00134
2.6393,0.03135,0.09490,0.03135,0.09490,0.03239,0.09474,-0.66425,1.63604,-0.68692,1.56972,-0.68692,1.56972,0.00000,0.00000,16,0.00026
2.7419,0.02779,0.09599,0.02779,0.09599,0.02923,0.09538,-0.66425,1.63414,-0.68471,1.56737,-0.68471,1.56737,0.00000,0.00000,16,0.00025
2.8450,0.02914,0.09547,0.02914,0.09547,0.02848,0.09522,-0.66425,1.63223,-0.68418,1.56558,-0.68418,1.56558,0.00000,0.00000,16,0.00136
2.9460,0.02779,0.09349,0.02779,0.09349,0.02799,0.09404,-0.66425,1.63034,-0.68384,1.56452,-0.68384,1.56452,0.00000,0.00000,16,0.00036
3.0468,0.02911,0.09419,0.02911,0.09419,0.02870,0.09400,-0.66425,1.62846,-0.68434,1.56266,-0.68434,1.56266,0.00000,0.00000,16,0.00031
3.1496,0.02868,0.09393,0.02868,0.09393,0.02907,0.09431,-0.66425,1.62658,-0.68460,1.56056,-0.68460,1.56056,0.00000,0.00000,16,0.00029
3.2507,0.02561,0.09370,0.02561,0.09370,0.02739,0.09311,-0.66425,1.62471,-0.68343,1.55953,-0.68343,1.55953,0.00000,0.00000,16,0.00026
3.3510,0.02093,0.09164,0.02093,0.09164,0.02323,0.09209,-0.66425,1.62286,-0.68051,1.55840,-0.68051,1.55840,0.00000,0.00000,16,0.00026
3.4519,0.01951,0.09197,0.01951,0.09197,0.02064,0.09176,-0.66425,1.62103,-0.67870,1.55680,-0.67870,1.55680,0.00000,0.00000,16,0.00027
3.5522,0.02230,0.09394,0.02230,0.09394,0.02075,0.09352,-0.66425,1.61917,-0.67877,1.55371,-0.67877,1.55371,0.00000,0.00000,16,0.00028
3.6548,0.02152,0.09660,0.02152,0.09660,0.02132,0.09570,-0.66425,1.61728,-0.67917,1.55028,-0.67917,1.55028,0.00000,0.00000,16,0.00032
3.7554,0.02309,0.09430,0.02309,0.09430,0.02229,0.09539,-0.66425,1.61536,-0.67985,1.54859,-0.67985,1.54859,0.00000,0.00000,16,0.00025
3.8574,0.02134,0.09131,0.02134,0.09131,0.02214,0.09345,-0.66425,1.61347,-0.67975,1.54805,-0.67975,1.54805,0.00000,0.00000,16,0.00031
3.9584,0.02274,0.09160,0.02274,0.09160,0.02337,0.09221,-0.66425,1.61162,-0.68061,1.54707,-0.68061,1.54707,0.00000,0.00000,16,0.00030
4.0597,0.02007,0.09516,0.02007,0.09516,0.02043,0.09354,-0.66425,1.60977,-0.67855,1.54429,-0.67855,1.54429,0.00000,0.00000,16,0.00028
4.1613,0.01727,0.09357,0.01727,0.09357,0.01865,0.09395,-0.66425,1.60789,-0.67730,1.54212,-0.67730,1.54212,0.00000,0.00000,16,0.00036
4.2633,0.02484,0.09674,0.02484,0.09674,0.02163,0.09551,-0.66425,1.60599,-0.67939,1.53913,-0.67939,1.53913,0.00000,0.00000,16,0.00024
4.3666,0.02482,0.09865,0.02482,0.09865,0.02382,0.09743,-0.66425,1.60406,-0.68092,1.53586,-0.68092,1.53586,0.00000,0.00000,16,0.00030
4.4719,0.02779,0.09944,0.02779,0.09944,0.02687,0.09953,-0.66425,1.60208,-0.68306,1.53241,-0.68306,1.53241,0.00000,0.00000,16,0.00264
4.5702,0.02759,0.10030,0.02759,0.10030,0.02663,0.09933,-0.66425,1.60010,-0.68289,1.53057,-0.68289,1.53057,0.00000,0.00000,16,0.00027
4.6729,0.02544,0.10192,0.02544,0.10192,0.02613,0.10058,-0.66425,1.59811,-0.68254,1.52770,-0.68254,1.52770,0.00000,0.00000,16,0.00027
4.7751,0.02980,0.10777,0.02980,0.10777,0.02737,0.10496,-0.66425,1.59604,-0.68341,1.52257,-0.68341,1.52257,0.00000,0.00000,16,0.00028
4.8768,0.03021,0.10609,0.03021,0.10609,0.02998,0.10621,-0.66425,1.59392,-0.68523,1.51958,-0.68523,1.51958,0.00000,0.00000,16,0.00028
4.9793,0.03242,0.10876,0.03242,0.10876,0.03197,0.10745,-0.66425,1.59179,-0.68663,1.51657,-0.68663,1.51657,0.00000,0.00000,16,0.00123
5.0800,0.03230,0.10563,0.03230,0.10563,0.03261,0.10731,-0.66425,1.58963,-0.68708,1.51451,-0.68708,1.51451,0.00000,0.00000,16,0.00028
5.1817,0.03160,0.10530,0.03160,0.10530,0.03218,0.10594,-0.66425,1.58750,-0.68677,1.51334,-0.68677,1.51334,0.00000,0.00000,16,0.00025
5.2844,0.03347,0.10505,0.03347,0.10505,0.03277,0.10559,-0.66425,1.58539,-0.68719,1.51147,-0.68719,1.51147,0.00000,0.00000,16,0.00098
5.3846,0.03322,0.10403,0.03322,0.10403,0.03301,0.10433,-0.66425,1.58329,-0.68736,1.51026,-0.68736,1.51026,0.00000,0.00000,16,0.00035
5.4860,0.03586,0.10521,0.03586,0.10521,0.03539,0.10424,-0.66425,1.58121,-0.68902,1.50824,-0.68902,1.50824,0.00000,0.00000,16,0.00027
5.5878,0.03305,0.10503,0.03305,0.10503,0.03359,0.10463,-0.66425,1.57912,-0.68777,1.50588,-0.68777,1.50588,0.00000,0.00000,16,0.00028
