t_s,roll,pitch,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual
0.0000,-0.10514,0.12831,-0.10514,0.12831,-0.11158,0.14417,-0.50729,1.58430,-0.42918,1.48338,-0.42918,1.48338,0.00000,0.00000,0,0.00030
0.1015,-0.09938,0.03854,-0.09938,0.03854,-0.09805,0.07894,-0.50526,1.58208,-0.43663,1.52683,-0.43663,1.52683,0.00000,0.00000,0,0.00034
0.2039,-0.06399,0.02283,-0.06399,0.02283,-0.07774,0.03566,-0.50347,1.58158,-0.44905,1.55662,-0.44905,1.55662,0.00000,0.00000,32,0.00038
0.3046,-0.04045,0.00533,-0.04045,0.00533,-0.05529,0.01237,-0.50215,1.58158,-0.46345,1.57292,-0.46345,1.57292,0.00000,0.00000,32,0.00041
0.4056,-0.01937,-0.00948,-0.01937,-0.00948,-0.03142,-0.00280,-0.50195,1.58158,-0.47996,1.58354,-0.47996,1.58354,0.00000,0.00000,48,0.00035
0.5075,0.00264,-0.02694,0.00264,-0.02694,-0.00835,-0.01898,-0.50195,1.58158,-0.49611,1.59487,-0.49611,1.59487,0.00000,0.00000,48,0.00028
0.6079,0.02209,-0.04328,0.02209,-0.04328,0.01304,-0.03691,-0.50195,1.58158,-0.51108,1.60742,-0.51108,1.60742,0.00000,0.00000,48,0.00030
0.7089,0.03734,-0.04285,0.03734,-0.04285,0.02951,-0.04328,-0.50195,1.58158,-0.52261,1.61188,-0.52261,1.61188,0.00000,0.00000,48,0.00028
0.8109,0.04637,-0.02328,0.04637,-0.02328,0.04166,-0.03013,-0.50195,1.58158,-0.53112,1.60267,-0.53112,1.60267,0.00000,0.00000,48,0.00029
0.9124,0.05222,-0.01541,0.05222,-0.01541,0.04987,-0.01900,-0.50195,1.58158,-0.53686,1.59488,-0.53686,1.59488,0.00000,0.00000,48,0.00024
1.0162,0.05463,-0.01065,0.05463,-0.01065,0.05373,-0.01408,-0.50301,1.58158,-0.54061,1.59143,-0.54061,1.59143,0.00000,0.00000,32,0.00029
1.1166,0.05089,-0.00993,0.05089,-0.00993,0.05240,-0.01128,-0.50407,1.58158,-0.54075,1.58948,-0.54075,1.58948,0.00000,0.00000,32,0.00029
1.2198,0.05010,-0.00698,0.05010,-0.00698,0.04968,-0.00833,-0.50468,1.58158,-0.53946,1.58742,-0.53946,1.58742,0.00000,0.00000,48,0.00102
1.3220,0.04549,-0.01121,0.04549,-0.01121,0.04694,-0.00957,-0.50468,1.58158,-0.53754,1.58828,-0.53754,1.58828,0.00000,0.00000,48,0.00030
1.4225,0.04134,-0.01586,0.04134,-0.01586,0.04407,-0.01308,-0.50468,1.58158,-0.53553,1.59074,-0.53553,1.59074,0.00000,0.00000,48,0.00026
1.5238,0.04187,-0.01558,0.04187,-0.01558,0.04145,-0.01540,-0.50468,1.58158,-0.53370,1.59236,-0.53370,1.59236,0.00000,0.00000,48,0.00024
1.6264,0.04612,-0.01525,0.04612,-0.01525,0.04483,-0.01518,-0.50468,1.58158,-0.53606,1.59221,-0.53606,1.59221,0.00000,0.00000,48,0.00024
