t_s,roll,pitch,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual
0.0000,-0.06262,-0.18565,-0.06262,-0.18565,-0.06611,-0.18792,-0.23965,1.66808,-0.17354,1.85600,-0.17354,1.85600,0.00000,0.00000,0,0.00027
0.1037,-0.06368,-0.18310,-0.06368,-0.18310,-0.06392,-0.18425,-0.23771,1.67365,-0.17378,1.85790,-0.17378,1.85790,0.00000,0.00000,0,0.00029
0.2056,-0.05892,-0.17999,-0.05892,-0.17999,-0.06098,-0.18097,-0.23584,1.67911,-0.17486,1.86008,-0.17486,1.86008,0.00000,0.00000,0,0.00032
0.3075,-0.06068,-0.18406,-0.06068,-0.18406,-0.06105,-0.18302,-0.23402,1.68457,-0.17297,1.86759,-0.17297,1.86759,0.00000,0.00000,0,0.00027
0.4090,-0.06408,-0.18398,-0.06408,-0.18398,-0.06261,-0.18447,-0.23218,1.69009,-0.16957,1.87457,-0.16957,1.87457,0.00000,0.00000,0,0.00025
0.5108,-0.06092,-0.18309,-0.06092,-0.18309,-0.06191,-0.18319,-0.23030,1.69560,-0.16839,1.87879,-0.16839,1.87879,0.00000,0.00000,0,0.00090
0.6114,-0.04189,-0.17233,-0.04189,-0.17233,-0.05217,-0.17803,-0.22855,1.70103,-0.17639,1.87906,-0.17639,1.87906,0.00000,0.00000,0,0.00025
0.7137,-0.00577,-0.16192,-0.00577,-0.16192,-0.01647,-0.16694,-0.22781,1.70617,-0.21134,1.87311,-0.21134,1.87311,0.00000,0.00000,16,0.00027
0.8152,0.00149,-0.15490,0.00149,-0.15490,-0.00257,-0.15885,-0.22781,1.71103,-0.22524,1.86987,-0.22524,1.86987,0.00000,0.00000,16,0.00025
0.9178,0.01164,-0.15059,0.01164,-0.15059,0.00760,-0.15370,-0.22781,1.71570,-0.23541,1.86940,-0.23541,1.86940,0.00000,0.00000,16,0.00026
1.0187,0.02947,-0.13920,0.02947,-0.13920,0.02147,-0.14558,-0.22794,1.72019,-0.24941,1.86577,-0.24941,1.86577,0.00000,0.00000,0,0.00027
1.1201,0.04823,-0.12851,0.04823,-0.12851,0.03985,-0.13373,-0.22891,1.72434,-0.26876,1.85807,-0.26876,1.85807,0.00000,0.00000,0,0.00028
1.2209,0.06122,-0.11742,0.06122,-0.11742,0.05570,-0.12216,-0.23042,1.72814,-0.28611,1.85029,-0.28611,1.85029,0.00000,0.00000,0,0.00032
