t_s,roll,pitch,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual
0.0000,-0.07070,-1.16313,-0.07070,-1.16313,-0.09684,-1.15938,0.29844,1.04239,0.39528,2.20178,0.39528,2.20178,0.00000,0.00000,0,0.00033
0.1032,-0.03565,-1.13723,-0.03565,-1.13723,-0.05407,-1.14615,0.30055,1.07699,0.35463,2.22315,0.35463,2.22315,0.00000,0.00000,0,0.00035
0.2047,0.19131,-1.07529,0.19131,-1.07529,0.09025,-1.09908,0.30011,1.11062,0.20985,2.20970,0.20985,2.20970,0.00000,0.00000,0,0.00042
0.3056,0.25858,-1.00307,0.25858,-1.00307,0.23149,-1.01839,0.29440,1.14202,0.06291,2.16041,0.06291,2.16041,0.00000,0.00000,0,0.00032
0.4069,0.27476,-0.99318,0.27476,-0.99318,0.26873,-0.99585,0.28664,1.17219,0.01791,2.16804,0.01791,2.16804,0.00000,0.00000,0,0.00027
0.5097,0.28682,-0.96623,0.28682,-0.96623,0.28398,-0.97548,0.27827,1.20168,-0.00571,2.17716,-0.00571,2.17716,0.00000,0.00000,0,0.00100
0.6104,0.30346,-0.91801,0.30346,-0.91801,0.29650,-0.93851,0.26955,1.23034,-0.02695,2.16885,-0.02695,2.16885,0.00000,0.00000,0,0.00036
0.7124,0.30916,-0.86364,0.30916,-0.86364,0.30614,-0.88877,0.26045,1.25762,-0.04569,2.14639,-0.04569,2.14639,0.00000,0.00000,0,0.00028
0.8148,0.32104,-0.80822,0.32104,-0.80822,0.31625,-0.83110,0.25110,1.28319,-0.06515,2.11429,-0.06515,2.11429,0.00000,0.00000,0,0.00026
0.9152,0.32719,-0.79329,0.32719,-0.79329,0.32374,-0.80270,0.24147,1.30755,-0.08227,2.11025,-0.08227,2.11025,0.00000,0.00000,0,0.00026
1.0158,0.32356,-0.78394,0.32356,-0.78394,0.32430,-0.78938,0.23174,1.33138,-0.09256,2.12076,-0.09256,2.12076,0.00000,0.00000,0,0.00025
1.1176,0.32591,-0.76494,0.32591,-0.76494,0.32482,-0.77198,0.22200,1.35475,-0.10282,2.12673,-0.10282,2.12673,0.00000,0.00000,0,0.00025
1.2181,0.33129,-0.74084,0.33129,-0.74084,0.33043,-0.75268,0.21214,1.37759,-0.11829,2.13027,-0.11829,2.13027,0.00000,0.00000,0,0.00025
1.3191,0.33570,-0.70665,0.33570,-0.70665,0.33482,-0.72107,0.20215,1.39962,-0.13266,2.12069,-0.13266,2.12069,0.00000,0.00000,0,0.00039
1.4208,0.34628,-0.63930,0.34628,-0.63930,0.34132,-0.67059,0.19200,1.42042,-0.14931,2.09101,-0.14931,2.09101,0.00000,0.00000,0,0.00034
1.5212,0.35926,-0.52345,0.35926,-0.52345,0.35412,-0.57149,0.18153,1.43881,-0.17259,2.01030,-0.17259,2.01030,0.00000,0.00000,0,0.00026
1.6220,0.33483,-0.44739,0.33483,-0.44739,0.34258,-0.48849,0.17102,1.45450,-0.17156,1.94299,-0.17156,1.94299,0.00000,0.00000,0,0.00028
1.7252,0.32496,-0.43686,0.32496,-0.43686,0.32743,-0.44940,0.16106,1.46838,-0.16637,1.91778,-0.16637,1.91778,0.00000,0.00000,0,0.00026
1.8263,0.32216,-0.43241,0.32216,-0.43241,0.32392,-0.43759,0.15131,1.48164,-0.17261,1.91923,-0.17261,1.91923,0.00000,0.00000,0,0.00028
1.9275,0.32263,-0.42710,0.32263,-0.42710,0.32246,-0.42865,0.14162,1.49458,-0.18084,1.92324,-0.18084,1.92324,0.00000,0.00000,0,0.00027
2.0284,0.31838,-0.42163,0.31838,-0.42163,0.32042,-0.42440,0.13197,1.50737,-0.18845,1.93177,-0.18845,1.93177,0.00000,0.00000,0,0.00029
2.1291,0.31293,-0.42393,0.31293,-0.42393,0.31555,-0.42213,0.12244,1.52003,-0.19311,1.94216,-0.19311,1.94216,0.00000,0.00000,0,0.00027
2.2324,0.31269,-0.42449,0.31269,-0.42449,0.31292,-0.42386,0.11303,1.53273,-0.19989,1.95659,-0.19989,1.95659,0.00000,0.00000,0,0.00028
2.3337,0.31079,-0.42273,0.31079,-0.42273,0.31168,-0.42328,0.10366,1.54544,-0.20802,1.96872,-0.20802,1.96872,0.00000,0.00000,0,0.00025
2.4355,0.31229,-0.42071,0.31229,-0.42071,0.31164,-0.42133,0.09432,1.55810,-0.21733,1.97944,-0.21733,1.97944,0.00000,0.00000,0,0.00028
2.5360,0.30648,-0.42132,0.30648,-0.42132,0.30863,-0.42090,0.08501,1.57072,-0.22362,1.99162,-0.22362,1.99162,0.00000,0.00000,0,0.00026
2.6372,0.30067,-0.41867,0.30067,-0.41867,0.30245,-0.41921,0.07587,1.58331,-0.22658,2.00252,-0.22658,2.00252,0.00000,0.00000,0,0.00026
2.7378,0.30090,-0.42003,0.30090,-0.42003,0.30060,-0.41900,0.06684,1.59586,-0.23376,2.01487,-0.23376,2.01487,0.00000,0.00000,0,0.00029
2.8384,0.29040,-0.41362,0.29040,-0.41362,0.29390,-0.41545,0.05793,1.60839,-0.23597,2.02384,-0.23597,2.02384,0.00000,0.00000,0,0.00028
2.9387,0.28426,-0.40912,0.28426,-0.40912,0.28541,-0.41079,0.04930,1.62076,-0.23611,2.03155,-0.23611,2.03155,0.00000,0.00000,0,0.00025
3.0407,0.28192,-0.41045,0.28192,-0.41045,0.28299,-0.41028,0.04079,1.63308,-0.24220,2.04336,-0.24220,2.04336,0.00000,0.00000,0,0.00031
3.1412,0.28325,-0.41064,0.28325,-0.41064,0.28399,-0.40977,0.03227,1.64536,-0.25171,2.05513,-0.25171,2.05513,0.00000,0.00000,0,0.00025
3.2427,0.28062,-0.40782,0.28062,-0.40782,0.28139,-0.40893,0.02381,1.65765,-0.25758,2.06658,-0.25758,2.06658,0.00000,0.00000,0,0.00026
3.3437,0.28242,-0.40935,0.28242,-0.40935,0.28155,-0.40907,0.01538,1.66992,-0.26618,2.07898,-0.26618,2.07898,0.00000,0.00000,0,0.00025
3.4463,0.28048,-0.40633,0.28048,-0.40633,0.28062,-0.40719,0.00694,1.68216,-0.27368,2.08935,-0.27368,2.08935,0.00000,0.00000,0,0.00096
3.5460,0.28717,-0.40108,0.28717,-0.40108,0.28407,-0.40374,-0.00152,1.69432,-0.28559,2.09806,-0.28559,2.09806,0.00000,0.00000,0,0.00026
3.6464,0.28963,-0.40127,0.28963,-0.40127,0.28750,-0.40166,-0.01011,1.70639,-0.29761,2.10805,-0.29761,2.10805,0.00000,0.00000,0,0.00026
3.7488,0.28932,-0.40466,0.28932,-0.40466,0.28968,-0.40394,-0.01877,1.71848,-0.30845,2.12242,-0.30845,2.12242,0.00000,0.00000,0,0.00048
3.8502,0.28765,-0.40263,0.28765,-0.40263,0.28825,-0.40316,-0.02744,1.73059,-0.31568,2.13375,-0.31568,2.13375,0.00000,0.00000,0,0.00038
