t_s,roll,pitch,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual
0.0000,-0.05789,-0.08343,-0.05789,-0.08343,-0.05926,-0.08400,-0.41270,1.54817,-0.35344,1.63217,-0.35344,1.63217,0.00000,0.00000,0,0.00079
0.1000,-0.06121,-0.08560,-0.06121,-0.08560,-0.05976,-0.08424,-0.41094,1.55068,-0.35118,1.63492,-0.35118,1.63492,0.00000,0.00000,0,0.00028
0.2004,-0.06503,-0.08829,-0.06503,-0.08829,-0.06322,-0.08686,-0.40908,1.55326,-0.34586,1.64012,-0.34586,1.64012,0.00000,0.00000,0,0.00024
0.3023,-0.07076,-0.08829,-0.07076,-0.08829,-0.06789,-0.08869,-0.40711,1.55591,-0.33922,1.64460,-0.33922,1.64460,0.00000,0.00000,0,0.00093
0.4020,-0.06976,-0.08632,-0.06976,-0.08632,-0.07063,-0.08775,-0.40500,1.55856,-0.33437,1.64631,-0.33437,1.64631,0.00000,0.00000,0,0.00031
0.5026,-0.07029,-0.08592,-0.07029,-0.08592,-0.07085,-0.08684,-0.40288,1.56118,-0.33202,1.64802,-0.33202,1.64802,0.00000,0.00000,0,0.00027
0.6063,-0.07043,-0.08620,-0.07043,-0.08620,-0.07093,-0.08650,-0.40075,1.56378,-0.32982,1.65028,-0.32982,1.65028,0.00000,0.00000,0,0.00135
0.7097,-0.07088,-0.08532,-0.07088,-0.08532,-0.07079,-0.08491,-0.39862,1.56634,-0.32783,1.65125,-0.32783,1.65125,0.00000,0.00000,0,0.00265
0.8080,-0.06995,-0.08457,-0.06995,-0.08457,-0.07002,-0.08488,-0.39652,1.56888,-0.32649,1.65376,-0.32649,1.65376,0.00000,0.00000,0,0.00038
0.9088,-0.06599,-0.08245,-0.06599,-0.08245,-0.06752,-0.08292,-0.39445,1.57139,-0.32693,1.65431,-0.32693,1.65431,0.00000,0.00000,0,0.00034
1.0094,-0.06761,-0.08279,-0.06761,-0.08279,-0.06719,-0.08341,-0.39243,1.57389,-0.32524,1.65730,-0.32524,1.65730,0.00000,0.00000,0,0.00037
1.1098,-0.06432,-0.08046,-0.06432,-0.08046,-0.06589,-0.08140,-0.39043,1.57635,-0.32454,1.65776,-0.32454,1.65776,0.00000,0.00000,0,0.00033
1.2109,-0.07166,-0.08070,-0.07166,-0.08070,-0.06874,-0.08082,-0.38842,1.57878,-0.31969,1.65960,-0.31969,1.65960,0.00000,0.00000,0,0.00029
