t_s,roll,pitch,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual
0.0000,-0.13674,-0.35155,-0.13674,-0.35155,-0.13945,-0.35016,-0.19002,1.76229,-0.05057,2.11246,-0.05057,2.11246,0.00000,0.00000,0,0.00028
0.1006,-0.12262,-0.35206,-0.12262,-0.35206,-0.12901,-0.35204,-0.18601,1.77284,-0.05700,2.12488,-0.05700,2.12488,0.00000,0.00000,0,0.00025
0.2015,-0.09920,-0.34012,-0.09920,-0.34012,-0.11229,-0.34644,-0.18239,1.78334,-0.07010,2.12978,-0.07010,2.12978,0.00000,0.00000,0,0.00037
0.3033,0.09784,-0.26413,0.09784,-0.26413,0.02639,-0.30050,-0.18134,1.79294,-0.20773,2.09345,-0.20773,2.09345,0.00000,0.00000,0,0.00031
0.4040,0.13317,-0.24968,0.13317,-0.24968,0.10173,-0.26091,-0.18363,1.80102,-0.28536,2.06193,-0.28536,2.06193,0.00000,0.00000,0,0.00028
0.5056,0.12434,-0.24400,0.12434,-0.24400,0.11981,-0.24985,-0.18708,1.80863,-0.30689,2.05848,-0.30689,2.05848,0.00000,0.00000,0,0.00103
0.6071,0.12504,-0.25134,0.12504,-0.25134,0.12690,-0.25151,-0.19087,1.81618,-0.31777,2.06769,-0.31777,2.06769,0.00000,0.00000,0,0.00070
0.7081,0.13129,-0.24678,0.13129,-0.24678,0.13061,-0.24911,-0.19475,1.82369,-0.32536,2.07280,-0.32536,2.07280,0.00000,0.00000,0,0.00032
0.8092,0.13811,-0.24225,0.13811,-0.24225,0.13661,-0.24476,-0.19879,1.83109,-0.33540,2.07584,-0.33540,2.07584,0.00000,0.00000,0,0.00037
0.9101,0.13639,-0.23704,0.13639,-0.23704,0.13681,-0.23917,-0.20290,1.83832,-0.33971,2.07750,-0.33971,2.07750,0.00000,0.00000,0,0.00041
1.0105,0.14124,-0.23279,0.14124,-0.23279,0.13904,-0.23547,-0.20703,1.84544,-0.34607,2.08091,-0.34607,2.08091,0.00000,0.00000,0,0.00029
1.1118,0.14376,-0.22399,0.14376,-0.22399,0.14137,-0.22768,-0.21124,1.85237,-0.35260,2.08006,-0.35260,2.08006,0.00000,0.00000,0,0.00079
1.2131,0.15157,-0.20436,0.15157,-0.20436,0.14872,-0.21306,-0.21561,1.85896,-0.36433,2.07202,-0.36433,2.07202,0.00000,0.00000,0,0.00030
1.3143,0.16201,-0.16141,0.16201,-0.16141,0.15743,-0.17759,-0.22022,1.86474,-0.37765,2.04233,-0.37765,2.04233,0.00000,0.00000,0,0.00028
1.4162,0.16408,-0.14586,0.16408,-0.14586,0.16220,-0.15303,-0.22503,1.86958,-0.38723,2.02261,-0.38723,2.02261,0.00000,0.00000,0,0.00027
1.5192,0.16533,-0.13628,0.16533,-0.13628,0.16438,-0.14120,-0.22994,1.87395,-0.39432,2.01515,-0.39432,2.01515,0.00000,0.00000,0,0.00024
1.6230,0.16725,-0.12667,0.16725,-0.12667,0.16603,-0.13199,-0.23490,1.87802,-0.40093,2.01001,-0.40093,2.01001,0.00000,0.00000,0,0.00083
1.7252,0.16882,-0.11388,0.16882,-0.11388,0.16737,-0.12066,-0.23990,1.88179,-0.40727,2.00244,-0.40727,2.00244,0.00000,0.00000,0,0.00031
1.8279,0.17504,-0.10203,0.17504,-0.10203,0.17180,-0.10816,-0.24500,1.88518,-0.41680,1.99334,-0.41680,1.99334,0.00000,0.00000,0,0.00032
1.9282,0.18313,-0.08917,0.18313,-0.08917,0.17997,-0.09552,-0.25030,1.88820,-0.43027,1.98372,-0.43027,1.98372,0.00000,0.00000,0,0.00026
