t_s,roll,pitch,err_r,err_p,err_r_filt,err_p_filt,integ_r,integ_p,pi_out_r,pi_out_p,corr_r,corr_p,target_roll,target_pitch,clip_flags,dt_actual
0.0000,-0.04653,-0.04725,-0.04653,-0.04725,-0.04894,-0.05615,-0.45824,1.65745,-0.40930,1.71361,-0.40930,1.71361,0.00000,0.00000,0,0.00026
0.1025,-0.03488,0.00021,-0.03488,0.00021,-0.03900,-0.02111,-0.45693,1.65860,-0.41793,1.67971,-0.41793,1.67971,0.00000,0.00000,0,0.00032
0.2030,-0.02097,0.03078,-0.02097,0.03078,-0.02557,0.01819,-0.45602,1.65860,-0.43045,1.64040,-0.43045,1.64040,0.00000,0.00000,32,0.00036
0.3038,-0.02123,0.03623,-0.02123,0.03623,-0.02050,0.03206,-0.45537,1.65777,-0.43486,1.62571,-0.43486,1.62571,0.00000,0.00000,0,0.00034
0.4054,-0.01793,0.04501,-0.01793,0.04501,-0.01903,0.04178,-0.45524,1.65662,-0.43622,1.61485,-0.43622,1.61485,0.00000,0.00000,16,0.00032
0.5074,-0.01722,0.04568,-0.01722,0.04568,-0.01845,0.04464,-0.45524,1.65531,-0.43679,1.61067,-0.43679,1.61067,0.00000,0.00000,16,0.00034
0.6091,-0.01742,0.04998,-0.01742,0.04998,-0.01668,0.04881,-0.45524,1.65390,-0.43856,1.60509,-0.43856,1.60509,0.00000,0.00000,16,0.00038
0.7113,-0.01259,0.05132,-0.01259,0.05132,-0.01440,0.05054,-0.45524,1.65240,-0.44085,1.60186,-0.44085,1.60186,0.00000,0.00000,16,0.00028
0.8125,-0.01132,0.05200,-0.01132,0.05200,-0.01248,0.05163,-0.45524,1.65087,-0.44276,1.59924,-0.44276,1.59924,0.00000,0.00000,16,0.00100
0.9130,-0.00991,0.04994,-0.00991,0.04994,-0.00962,0.05122,-0.45524,1.64932,-0.44563,1.59810,-0.44563,1.59810,0.00000,0.00000,16,0.00035
1.0133,-0.01175,0.04927,-0.01175,0.04927,-0.01107,0.04959,-0.45524,1.64782,-0.44417,1.59824,-0.44417,1.59824,0.00000,0.00000,16,0.00026
1.1153,-0.01692,0.04732,-0.01692,0.04732,-0.01433,0.04874,-0.45524,1.64635,-0.44092,1.59761,-0.44092,1.59761,0.00000,0.00000,16,0.00032
1.2177,-0.01567,0.04933,-0.01567,0.04933,-0.01547,0.04884,-0.45524,1.64489,-0.43977,1.59604,-0.43977,1.59604,0.00000,0.00000,16,0.00117
1.3189,-0.01456,0.05035,-0.01456,0.05035,-0.01592,0.04929,-0.45524,1.64342,-0.43932,1.59414,-0.43932,1.59414,0.00000,0.00000,16,0.00026
1.4200,-0.00761,0.05170,-0.00761,0.05170,-0.01080,0.05078,-0.45524,1.64192,-0.44445,1.59113,-0.44445,1.59113,0.00000,0.00000,16,0.00026
1.5208,-0.00966,0.04910,-0.00966,0.04910,-0.00920,0.04939,-0.45524,1.64042,-0.44604,1.59102,-0.44604,1.59102,0.00000,0.00000,16,0.00027
1.6216,-0.01133,0.05259,-0.01133,0.05259,-0.00969,0.05133,-0.45524,1.63891,-0.44556,1.58758,-0.44556,1.58758,0.00000,0.00000,16,0.00025
1.7222,-0.01088,0.05053,-0.01088,0.05053,-0.01137,0.05226,-0.45524,1.63733,-0.44387,1.58507,-0.44387,1.58507,0.00000,0.00000,16,0.00027
1.8229,-0.01068,0.05034,-0.01068,0.05034,-0.01185,0.05082,-0.45524,1.63580,-0.44339,1.58498,-0.44339,1.58498,0.00000,0.00000,16,0.00032
1.9233,-0.00996,0.04961,-0.00996,0.04961,-0.01038,0.05012,-0.45524,1.63428,-0.44486,1.58416,-0.44486,1.58416,0.00000,0.00000,16,0.00026
2.0241,-0.00311,0.04863,-0.00311,0.04863,-0.00579,0.04927,-0.45524,1.63279,-0.44946,1.58352,-0.44946,1.58352,0.00000,0.00000,16,0.00026
2.1250,-0.00405,0.04476,-0.00405,0.04476,-0.00418,0.04695,-0.45524,1.63134,-0.45106,1.58439,-0.45106,1.58439,0.00000,0.00000,16,0.00042
2.2259,-0.00422,0.04596,-0.00422,0.04596,-0.00406,0.04581,-0.45524,1.62996,-0.45119,1.58415,-0.45119,1.58415,0.00000,0.00000,16,0.00026
2.3277,-0.00225,0.04188,-0.00225,0.04188,-0.00384,0.04319,-0.45524,1.62862,-0.45141,1.58544,-0.45141,1.58544,0.00000,0.00000,16,0.00025
2.4294,-0.00316,0.03801,-0.00316,0.03801,-0.00297,0.04041,-0.45524,1.62737,-0.45227,1.58696,-0.45227,1.58696,0.00000,0.00000,16,0.00023
2.5316,-0.00595,0.04008,-0.00595,0.04008,-0.00489,0.03990,-0.45524,1.62617,-0.45035,1.58627,-0.45035,1.58627,0.00000,0.00000,16,0.00097
2.6323,-0.00611,0.04162,-0.00611,0.04162,-0.00607,0.04087,-0.45524,1.62496,-0.44917,1.58409,-0.44917,1.58409,0.00000,0.00000,16,0.00029
2.7331,-0.00487,0.04241,-0.00487,0.04241,-0.00537,0.04213,-0.45524,1.62371,-0.44987,1.58158,-0.44987,1.58158,0.00000,0.00000,16,0.00026
2.8352,-0.00005,0.04333,-0.00005,0.04333,-0.00236,0.04291,-0.45524,1.62244,-0.45289,1.57952,-0.45289,1.57952,0.00000,0.00000,16,0.00079
2.9357,0.00324,0.04319,0.00324,0.04319,0.00118,0.04348,-0.45524,1.62113,-0.45642,1.57765,-0.45642,1.57765,0.00000,0.00000,16,0.00035
3.0403,0.00081,0.04213,0.00081,0.04213,0.00165,0.04212,-0.45524,1.61986,-0.45690,1.57774,-0.45690,1.57774,0.00000,0.00000,16,0.00036
3.1406,0.00273,0.04347,0.00273,0.04347,0.00186,0.04284,-0.45524,1.61858,-0.45711,1.57574,-0.45711,1.57574,0.00000,0.00000,16,0.00026
3.2431,0.00860,0.04531,0.00860,0.04531,0.00661,0.04449,-0.45524,1.61727,-0.46186,1.57278,-0.46186,1.57278,0.00000,0.00000,16,0.00029
3.3448,0.01275,0.04565,0.01275,0.04565,0.01087,0.04540,-0.45524,1.61591,-0.46612,1.57052,-0.46612,1.57052,0.00000,0.00000,16,0.00027
3.4469,0.01814,0.04739,0.01814,0.04739,0.01599,0.04696,-0.45524,1.61452,-0.47124,1.56756,-0.47124,1.56756,0.00000,0.00000,16,0.00029
3.5480,0.01447,0.07465,0.01447,0.07465,0.01599,0.06134,-0.45524,1.61297,-0.47124,1.55163,-0.47124,1.55163,0.00000,0.00000,16,0.00029
3.6484,0.01646,0.07341,0.01646,0.07341,0.01578,0.07154,-0.45524,1.61090,-0.47102,1.53937,-0.47102,1.53937,0.00000,0.00000,16,0.00027
3.7509,0.01592,0.07109,0.01592,0.07109,0.01568,0.07201,-0.45524,1.60873,-0.47093,1.53672,-0.47093,1.53672,0.00000,0.00000,16,0.00073
3.8514,0.01623,0.07011,0.01623,0.07011,0.01583,0.07097,-0.45524,1.60658,-0.47107,1.53561,-0.47107,1.53561,0.00000,0.00000,16,0.00027
3.9530,0.01687,0.06799,0.01687,0.06799,0.01613,0.06907,-0.45524,1.60449,-0.47138,1.53542,-0.47138,1.53542,0.00000,0.00000,16,0.00035
4.0543,0.01411,0.07033,0.01411,0.07033,0.01494,0.06985,-0.45524,1.60240,-0.47018,1.53255,-0.47018,1.53255,0.00000,0.00000,16,0.00031
4.1552,0.00927,0.07170,0.00927,0.07170,0.01159,0.07149,-0.45524,1.60027,-0.46683,1.52878,-0.46683,1.52878,0.00000,0.00000,16,0.00027
4.2584,-0.04196,0.08087,-0.04196,0.08087,-0.02030,0.08304,-0.45512,1.59791,-0.43482,1.51487,-0.43482,1.51487,0.00000,0.00000,0,0.00038
4.3593,-0.04412,0.08689,-0.04412,0.08689,-0.03699,0.08960,-0.45418,1.59522,-0.41718,1.50561,-0.41718,1.50561,0.00000,0.00000,0,0.00031
4.4619,-0.04215,0.07932,-0.04215,0.07932,-0.04209,0.08306,-0.45296,1.59262,-0.41087,1.50956,-0.41087,1.50956,0.00000,0.00000,0,0.00032
4.5636,-0.06138,-0.00342,-0.06138,-0.00342,-0.05168,0.03705,-0.45157,1.59069,-0.39989,1.55364,-0.39989,1.55364,0.00000,0.00000,0,0.00032
4.6649,-0.06606,-0.02856,-0.06606,-0.02856,-0.06547,-0.01192,-0.44969,1.59055,-0.38422,1.60246,-0.38422,1.60246,0.00000,0.00000,32,0.00027
4.7674,-0.06600,-0.02749,-0.06600,-0.02749,-0.06698,-0.02507,-0.44769,1.59110,-0.38071,1.61617,-0.38071,1.61617,0.00000,0.00000,0,0.00031
4.8702,-0.06619,-0.02972,-0.06619,-0.02972,-0.06657,-0.02756,-0.44569,1.59189,-0.37912,1.61945,-0.37912,1.61945,0.00000,0.00000,0,0.00026
4.9727,-0.06628,-0.03067,-0.06628,-0.03067,-0.06618,-0.02994,-0.44370,1.59278,-0.37752,1.62272,-0.37752,1.62272,0.00000,0.00000,0,0.00101
5.0730,-0.06939,-0.03467,-0.06939,-0.03467,-0.06829,-0.03343,-0.44168,1.59374,-0.37339,1.62716,-0.37339,1.62716,0.00000,0.00000,0,0.00035
5.1734,-0.07045,-0.03827,-0.07045,-0.03827,-0.06959,-0.03653,-0.43961,1.59480,-0.37001,1.63132,-0.37001,1.63132,0.00000,0.00000,0,0.00028
5.2740,-0.07548,-0.04153,-0.07548,-0.04153,-0.07335,-0.04021,-0.43746,1.59596,-0.36411,1.63617,-0.36411,1.63617,0.00000,0.00000,0,0.00034
