focus_pos,variance_of_laplacian,tenengrad,sum_modified_laplacian,normalized_variance,over_clip_frac,under_clip_frac,mean,p01,p50,p99,dynamic_range,sat_mean,sat_p50,val_mean
0,22.800790450976677,2641.8142413129676,2.8902660386186847,26.45753034197543,1.0549286265432098e-05,0.0,188.07029363034093,15.851072499999999,228.201625,248.054125,232.20305249999998,42.25620499797212,13.634285132748246,197.44862497588736
5,23.022873566060163,2652.180708324295,2.9007016211405814,26.3332794887909,4.521122685185185e-06,0.0,188.196581663532,15.85834625,228.208375,247.913375,232.05502875000002,42.37076229114757,13.650438072481084,197.60360152633103
10,22.95738385381675,2656.7913613038972,2.8940173108210625,26.35026965908769,6.028163580246913e-06,0.0,188.17238707893276,15.873999999999999,228.14600000000002,247.86999624999996,231.99599625,42.34360813443686,13.698464061377427,197.5710253303434
15,22.99075466166627,2656.3039082890286,2.892100433649756,26.344686450535697,0.0,1.5070408950617283e-06,188.1283431170428,15.8970725,228.14600000000002,247.86375,231.9666775,42.53267592761998,13.705569013196639,197.549158166956
20,22.95797412469226,2657.264432218305,2.8898849834246736,26.443590804905128,0.0,0.0,187.89228764738857,15.14158875,228.14600000000002,247.836,232.69441125000003,42.45003536594788,13.740976818353282,197.3322136019483
25,22.920886038645676,2654.7767381464314,2.893917271676374,26.33262435247911,3.0140817901234566e-06,0.0,188.03297716983744,15.858113750000001,228.14600000000002,247.84412500000002,231.98601125,42.409659384178326,13.705627490166343,197.46763780381946
30,22.817851649084297,2652.6411535601483,2.8875209561701842,26.31309947341937,4.521122685185185e-06,0.0,188.2101785798249,15.89234125,228.21212500000001,247.882875,231.99053375,42.46843131138118,13.663173210160195,197.61780990788967
35,23.0077880798014,2651.5227153149126,2.8949959815530684,26.29545359874686,3.0140817901234566e-06,0.0,188.21358971414443,15.88525,228.14600000000002,247.84412500000002,231.95887500000003,42.36792761145641,13.656068258340985,197.59690725067514
40,23.15300368961229,2657.167634518245,2.903271466886043,26.2890589248885,1.5070408950617283e-06,0.0,188.16747345648866,15.89016375,228.14600000000002,247.836,231.94583625,42.430000884572536,13.656068258340985,197.56346149209105
45,23.197069339637373,2694.469236474947,2.9136139584454694,26.301323361629983,0.0,0.0,188.1081015187958,15.8862,228.14600000000002,247.836,231.94980000000004,42.39491217202009,13.66311473319049,197.4976218894676
50,23.889565696103798,2802.299054537738,2.9502320591941116,26.30718633047431,1.5070408950617283e-06,0.0,188.02636587486734,15.88930625,228.25725,247.836,231.94669375,42.348384768988,13.684312634708713,197.3960563753858
55,25.45302593853573,2941.9816114799933,3.029360704543233,26.442762120208446,0.0,0.0,187.7504572693624,15.851999999999999,228.312875,247.80537500000003,231.953375,42.244505600348404,13.722062811999393,197.0915557484568
60,27.257680788795128,3125.980960755321,3.1134233085213117,26.644406302219735,1.5070408950617283e-06,0.0,187.35693772907018,15.667625000000001,228.25725,247.621625,231.95399999999998,42.18872475359695,13.742393107342885,196.68480541087962
65,29.84131893614124,3397.541328815726,3.2455101072809143,27.03450956871979,3.0140817901234566e-06,0.0,186.70013323145736,15.29107625,228.201625,246.56599999999997,231.27492374999997,42.42429548740054,13.748081770172492,195.9855052806713
70,32.867634546077255,3705.118094673961,3.3642232531682756,27.454395437003924,1.5070408950617283e-06,0.0,186.01987257818524,14.60250375,228.10725000000002,245.81474999999998,231.21224624999996,42.59304989785693,13.755186721991702,195.32316984953704
75,36.040971703345285,4075.892407838589,3.501478650853846,27.92370574038702,0.0,1.5070408950617283e-06,185.37920770037613,14.270076249999999,227.836,245.772625,231.50254875000002,42.747280032718315,13.755186721991702,194.5966480396412
80,40.917276573507955,4531.703087464562,3.6893857372657455,28.346220674533754,1.5070408950617283e-06,0.0,184.77034078263642,14.374936250000001,227.591,245.591,231.21606375000002,42.77615646531303,13.755186721991702,193.89933871045525
85,51.348353132269864,5518.567597523609,4.058281373856243,29.23398774988031,0.0,3.0140817901234566e-06,183.68563920386043,14.1872575,227.591,244.170875,229.9836175,42.71442865101385,13.755186721991702,192.65509862075618
