focus_pos,variance_of_laplacian,tenengrad,sum_modified_laplacian,normalized_variance,over_clip_frac,under_clip_frac,mean,p01,p50,p99,dynamic_range,sat_mean,sat_p50,val_mean
0,22.31787398673391,2531.9057558848353,2.868145812435781,27.083372653811434,0.0,0.0,182.54146304132905,14.782079999999999,223.89874999999998,243.65224999999998,228.87016999999997,43.33738255611594,13.855904616399592,191.70326364776236
5,22.110479198610513,2544.5794405723377,2.8769444344204165,27.180779381054013,0.0,0.0,182.27731318419654,14.3569325,223.86899999999997,243.191,228.83406749999997,43.60445986861377,13.87029288702929,191.50511489679786
10,22.186409346311216,2550.4831479900945,2.8748049325365788,27.145630028410892,0.0,3.0140817901234566e-06,182.32120112063558,14.1404175,223.86487499999998,242.70475000000002,228.56433249999998,43.46229371349645,13.87029288702929,191.51734302662038
15,22.30231817926987,2547.5759713889943,2.875687998483146,27.108931427171527,0.0,0.0,182.4997097770785,14.77516125,223.90362499999998,243.591,228.81583875,43.44084969177068,13.87029288702929,191.6749930676119
20,22.35661629470055,2557.40842135292,2.8830712188677428,27.103606446117787,0.0,0.0,182.4460687542197,14.278965000000001,223.88049999999998,242.921375,228.64241,43.327956764632575,13.87029288702929,191.56465657552081
25,22.24204090210878,2551.2757631794784,2.8761103023927213,27.131456142310718,0.0,0.0,182.40870893313559,14.53747375,223.94224999999997,243.316,228.77852625,43.4797153810006,13.87029288702929,191.56251657744986
30,22.059744110299505,2540.514357958751,2.8577625629984857,27.171146648015522,0.0,0.0,182.39590774046343,14.58203125,223.86899999999997,243.47975,228.89771874999997,43.585546337547484,13.892208815362384,191.55290919174382
35,22.022525763912213,2546.295512197448,2.8719648783456506,27.14567304590791,0.0,0.0,182.35426119580677,14.572374999999997,223.86899999999997,243.22975,228.657375,43.54979682239291,13.87029288702929,191.49085226176697
40,21.999514969280845,2543.076041284799,2.8614186555022783,27.123506951767677,0.0,0.0,182.43870661681373,14.82470625,223.91006249999998,243.591,228.76629375,43.56871877997027,13.87029288702929,191.61454716435185
45,22.43030812928698,2582.868690585268,2.8861601155379972,27.121556161037027,0.0,1.5070408950617283e-06,182.4035457929446,14.6531825,223.90362499999998,243.06599999999997,228.41281750000002,43.389175023177344,13.87029288702929,191.51020417390046
50,23.515850602612524,2690.8975922686423,2.933886905490045,27.149681812974546,0.0,0.0,182.33968836202737,14.75925,223.98699999999997,242.3435,227.58425,43.12452962776149,13.847230851164007,191.34205156491126
